Sample,Group,AMR Gene Family,Drug Class,RPKM
368257238,Multi-drug resistance,msr-type ABC-F protein,macrolide antibiotic; streptogramin antibiotic,9.207069
368257238,Multi-drug resistance,MOX beta-lactamase,cephalosporin; cephamycin; penam,5.898279
368257238,Multi-drug resistance,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,68.39537
368257238,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; penam,2.182022
368257238,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; tetracycline antibiotic,2.136735
368257238,Multi-drug resistance,ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic; cephalosporin; penam; tetracycline antibiotic; peptide antibiotic; disinfecting agents and antiseptics,10.20243
368257238,Multi-drug resistance,fosfomycin thiol transferase,fluoroquinolone antibiotic; aminoglycoside antibiotic; phosphonic acid antibiotic,5.392712
368257238,Multi-drug resistance,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic; disinfecting agents and antiseptics,3.340618
368257238,aminoglycoside antibiotic,APH(3'),aminoglycoside antibiotic,8.326982
368257238,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,glycylcycline; tetracycline antibiotic,3.240256
368257238,fluoroquinolone antibiotic,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic,5.86392
368257238,phosphonic acid antibiotic,major facilitator superfamily (MFS) antibiotic efflux pump,phosphonic acid antibiotic,3.691832
368257238,tetracycline antibiotic,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,6.434486
368257238,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; lincosamide antibiotic; carbapenem; cephalosporin; tetracycline antibiotic; rifamycin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic; penem,3.564588
368257238,Multi-drug resistance,AIM beta-lactamase,cephalosporin; cephamycin; penam,4.966971
368257238,penam,BlaZ beta-lactamase,penam,21.41786
368257238,Multi-drug resistance,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,581.3606
368257238,aminocoumarin antibiotic,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic,2.900979
368257238,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic,5.076712
368257238,Multi-drug resistance,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,6.163099
368257238,Multi-drug resistance,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,7.947154
368257238,sulfonamide antibiotic,sulfonamide resistant sul,sulfonamide antibiotic,16.65396
368257238,Multi-drug resistance,CGB beta-lactamase,carbapenem; cephalosporin; penam,6.213824
368257238,Multi-drug resistance,major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; penam; tetracycline antibiotic,3.682828
368257238,aminoglycoside antibiotic,APH(6),aminoglycoside antibiotic,18.94214
368257238,sulfonamide antibiotic,sulfonamide resistant sul,sulfonamide antibiotic,21.57085
368257238,tetracycline antibiotic,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,13.3456
368257238,Multi-drug resistance,msr-type ABC-F protein,macrolide antibiotic; streptogramin antibiotic; streptogramin B antibiotic,3.087851
368257238,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,glycylcycline; tetracycline antibiotic,3.803424
368257238,Multi-drug resistance,major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; penam; tetracycline antibiotic,1.8906
368257238,tetracycline antibiotic,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,2.294771
368257238,phenicol antibiotic,major facilitator superfamily (MFS) antibiotic efflux pump,phenicol antibiotic,42.37131
368257238,diaminopyrimidine antibiotic,trimethoprim resistant dihydrofolate reductase dfr,diaminopyrimidine antibiotic,18.64147
368257238,tetracycline antibiotic,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,16.4126
368257238,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; lincosamide antibiotic; carbapenem; cephalosporin; tetracycline antibiotic; rifamycin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic; penem,5.431508
368257238,Multi-drug resistance,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,6.064094
368257238,Multi-drug resistance,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic; disinfecting agents and antiseptics,19.45824
368257238,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin; penam; tetracycline antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic,4.338964
368257238,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; lincosamide antibiotic; carbapenem; cephalosporin; tetracycline antibiotic; rifamycin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic; penem,6.226636
368257238,tetracycline antibiotic,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,2.359311
368257238,peptide antibiotic,undecaprenyl pyrophosphate related proteins,peptide antibiotic,2.7554
368257238,aminoglycoside antibiotic,APH(3''),aminoglycoside antibiotic,47.8905
368257238,aminoglycoside antibiotic,ANT(3''),aminoglycoside antibiotic,2.881602
368257238,cephamycin,CfxA beta-lactamase,cephamycin,4.689315
368257238,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; penam,5.867718
368257238,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem,7.210885
368257238,Multi-drug resistance,OXA beta-lactamase,carbapenem; cephalosporin; penam,5.490761
368257238,Multi-drug resistance,Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins,macrolide antibiotic; lincosamide antibiotic,27.50381
368257238,aminoglycoside antibiotic,ANT(3''),aminoglycoside antibiotic,5.719543
368257238,macrolide antibiotic,macrolide phosphotransferase (MPH),macrolide antibiotic,15.09959
368257238,fluoroquinolone antibiotic,ATP-binding cassette (ABC) antibiotic efflux pump,fluoroquinolone antibiotic,2.672494
368257238,fluoroquinolone antibiotic,ATP-binding cassette (ABC) antibiotic efflux pump,fluoroquinolone antibiotic,6.408995
368257238,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; tetracycline antibiotic; disinfecting agents and antiseptics,11.77356
368257238,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,17.04076
368257238,Multi-drug resistance,major facilitator superfamily (MFS) antibiotic efflux pump,penam; tetracycline antibiotic,1.468832
368257238,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; glycylcycline; tetracycline antibiotic; diaminopyrimidine antibiotic; nitrofuran antibiotic,5.746753
368257238,aminoglycoside antibiotic,ANT(3''),aminoglycoside antibiotic,5.74129
368257238,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic,3.536204
368257238,macrolide antibiotic,mgt macrolide glycotransferase,macrolide antibiotic,5.405582
368257238,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; monobactam; aminoglycoside antibiotic; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem,6.681236
368257238,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; tetracycline antibiotic,4.467335
368257238,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,7.568718
368257238,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,3.793868
368257238,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic,13.49446
368257238,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic,10.84741
368257238,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic,2.184126
368257238,phosphonic acid antibiotic,fosfomycin thiol transferase,phosphonic acid antibiotic,5.392712
368257238,rifamycin antibiotic,rifamycin-resistant beta-subunit of RNA polymerase (rpoB),rifamycin antibiotic,48.03826
368257238,Multi-drug resistance,OXA beta-lactamase,carbapenem; cephalosporin; penam,5.451117
368257238,Multi-drug resistance,General Bacterial Porin with reduced permeability to beta-lactams,monobactam; carbapenem; cephalosporin; cephamycin; penam; penem,4.026558
368257238,macrolide antibiotic,macrolide phosphotransferase (MPH),macrolide antibiotic,5.118506
368257238,macrolide antibiotic,macrolide phosphotransferase (MPH),macrolide antibiotic,9.496599
368257238,phosphonic acid antibiotic,major facilitator superfamily (MFS) antibiotic efflux pump,phosphonic acid antibiotic,3.511533
368257238,disinfecting agents and antiseptics,major facilitator superfamily (MFS) antibiotic efflux pump,disinfecting agents and antiseptics,6.508445
368257238,peptide antibiotic,General Bacterial Porin with reduced permeability to peptide antibiotics,peptide antibiotic,4.026558
368257238,peptide antibiotic,pmr phosphoethanolamine transferase,peptide antibiotic,7.878049
368257238,peptide antibiotic,pmr phosphoethanolamine transferase,peptide antibiotic,8.206301
368257238,Multi-drug resistance,ATP-binding cassette (ABC) antibiotic efflux pump,peptide antibiotic; aminocoumarin antibiotic; rifamycin antibiotic,3.856856
368257238,Multi-drug resistance,GES beta-lactamase,carbapenem; cephalosporin; penam,5.242914
368257238,carbapenem,SGM beta-lactamase,carbapenem,4.870836
368257238,mupirocin-like antibiotic,antibiotic-resistant isoleucyl-tRNA synthetase (ileS),mupirocin-like antibiotic,1.473131
368257238,rifamycin antibiotic,rifamycin-resistant beta-subunit of RNA polymerase (rpoB),rifamycin antibiotic,56.60757
368257238,Multi-drug resistance,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic,5.719543
368257238,rifamycin antibiotic,helicase-like RNA polymerase protection protein,rifamycin antibiotic,3.132696
368257238,macrolide antibiotic,macrolide phosphotransferase (MPH),macrolide antibiotic,3.656076
368257968,lincosamide antibiotic,lincosamide nucleotidyltransferase (LNU),lincosamide antibiotic,0.670519
368257968,Multi-drug resistance,msr-type ABC-F protein,macrolide antibiotic; streptogramin antibiotic,10.48709
368257968,phosphonic acid antibiotic,fosfomycin thiol transferase,phosphonic acid antibiotic,1.912397
368257968,Multi-drug resistance,major facilitator superfamily (MFS) antibiotic efflux pump,nucleoside antibiotic; disinfecting agents and antiseptics,0.222135
368257968,Multi-drug resistance,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,172.0198
368257968,aminoglycoside antibiotic,ANT(3''),aminoglycoside antibiotic,0.619529
368257968,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; penam,0.732533
368257968,phenicol antibiotic,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,0.77221
368257968,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic; aminocoumarin antibiotic,2.727462
368257968,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; tetracycline antibiotic,0.768567
368257968,Multi-drug resistance,ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic; cephalosporin; penam; tetracycline antibiotic; peptide antibiotic; disinfecting agents and antiseptics,2.201841
368257968,Multi-drug resistance,vga-type ABC-F protein,lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; pleuromutilin antibiotic,2.803874
368257968,Multi-drug resistance,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic; disinfecting agents and antiseptics,0.961276
368257968,phenicol antibiotic,major facilitator superfamily (MFS) antibiotic efflux pump,phenicol antibiotic,0.258629
368257968,Multi-drug resistance,ACT beta-lactamase,carbapenem; cephalosporin; cephamycin; penam,0.284356
368257968,Multi-drug resistance,lsa-type ABC-F protein,lincosamide antibiotic; streptogramin antibiotic; pleuromutilin antibiotic,0.219443
368257968,cephamycin,CfxA beta-lactamase,cephamycin,0.490772
368257968,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic,3.024976
368257968,aminoglycoside antibiotic,APH(3'),aminoglycoside antibiotic,8.5861
368257968,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic,3.559565
368257968,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic; cephalosporin; cephamycin; penam,1.62472
368257968,Multi-drug resistance,OXA beta-lactamase,carbapenem; cephalosporin; penam,0.196072
368257968,fluoroquinolone antibiotic,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic,5.483937
368257968,Multi-drug resistance,multidrug and toxic compound extrusion (MATE) transporter,glycylcycline; tetracycline antibiotic,1.081435
368257968,aminocoumarin antibiotic,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic,0.391674
368257968,diaminopyrimidine antibiotic,trimethoprim resistant dihydrofolate reductase dfr,diaminopyrimidine antibiotic,6.870804
368257968,fluoroquinolone antibiotic,quinolone resistance protein (qnr),fluoroquinolone antibiotic,0.496001
368257968,penam,CARB beta-lactamase,penam,0.712289
368257968,aminoglycoside antibiotic,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic,1.612715
368257968,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem,3.818818
368257968,macrolide antibiotic,ATP-binding cassette (ABC) antibiotic efflux pump,macrolide antibiotic,5.894333
368257968,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; tetracycline antibiotic; disinfecting agents and antiseptics,1.558133
368257968,tetracycline antibiotic,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,4.582581
368257968,tetracycline antibiotic,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,0.317614
