resistance_mechanism,RPKM,Sample
antibiotic target protection,9.207068989,368257238
antibiotic inactivation,5.898278571,368257238
antibiotic inactivation,68.39536963,368257238
antibiotic efflux,2.18202213,368257238
antibiotic efflux,2.136734879,368257238
antibiotic efflux,10.2024278,368257238
antibiotic inactivation,5.392711836,368257238
antibiotic efflux,3.340617952,368257238
antibiotic inactivation,8.326981512,368257238
antibiotic efflux,3.240256039,368257238
antibiotic efflux,5.863919667,368257238
antibiotic efflux,3.691832064,368257238
antibiotic efflux,6.434485714,368257238
antibiotic efflux,3.564587616,368257238
antibiotic inactivation,4.966971428,368257238
antibiotic inactivation,21.41786261,368257238
antibiotic inactivation,581.3606419,368257238
antibiotic efflux,2.900978509,368257238
antibiotic efflux,5.076712391,368257238
antibiotic target alteration,6.163099241,368257238
antibiotic target alteration,7.947154285,368257238
antibiotic target replacement,16.65396302,368257238
antibiotic inactivation,6.213824338,368257238
antibiotic efflux,3.682827595,368257238
antibiotic inactivation,18.94214193,368257238
antibiotic target replacement,21.57084734,368257238
antibiotic efflux,13.3456,368257238
antibiotic target protection,3.087851358,368257238
antibiotic efflux,3.803423965,368257238
antibiotic efflux,1.890600143,368257238
antibiotic target protection,2.294770994,368257238
antibiotic efflux,42.37130728,368257238
antibiotic target replacement,18.64147301,368257238
antibiotic efflux,16.41260124,368257238
antibiotic efflux,5.431508324,368257238
antibiotic target alteration,6.064093631,368257238
antibiotic efflux,19.45823858,368257238
antibiotic efflux,4.338963546,368257238
antibiotic efflux,6.226636347,368257238
antibiotic target protection,2.359311428,368257238
antibiotic target alteration,2.755400208,368257238
antibiotic inactivation,47.89050064,368257238
antibiotic inactivation,2.881601745,368257238
antibiotic inactivation,4.68931464,368257238
antibiotic efflux,5.867717542,368257238
antibiotic efflux,7.210884977,368257238
antibiotic inactivation,5.490761142,368257238
antibiotic target protection,27.50381264,368257238
antibiotic inactivation,5.719542857,368257238
antibiotic inactivation,15.09959314,368257238
antibiotic efflux,2.672494361,368257238
antibiotic efflux,6.408995391,368257238
antibiotic efflux,11.7735619,368257238
antibiotic efflux,17.04075772,368257238
antibiotic efflux,1.468832018,368257238
antibiotic efflux,5.746752861,368257238
antibiotic inactivation,5.741290168,368257238
