COG20_FUNCTION	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_Reference	p_Chennai	N_Reference	N_Chennai
Uncharacterized conserved protein, DUF1993 domain (PDB:2OQM)	31.00002278725131	2.580254010333666e-8	1.273097328698631e-5	Reference	COG3812	GC_00003668	1	0	20	11
Cbb3-type cytochrome oxidase, cytochrome c subunit FixO (CcoO) (PDB:3MK7)	31.00002278725131	2.580254010333666e-8	1.273097328698631e-5	Reference	COG2993	GC_00000057	1	0	20	11
NDP-sugar epimerase, includes UDP-GlcNAc-inverting 4,6-dehydratase FlaA1 and capsular polysaccharide biosynthesis protein EpsC (FlaA1) (PDB:2GN4)	31.00002278725131	2.580254010333666e-8	1.273097328698631e-5	Reference	COG1086	GC_00003696, GC_00004186, GC_00005499, GC_00006108	1	0	20	11
Type IV pilus assembly protein, tip-associated adhesin PilY1 (PilY1) (PDB:3HX6)	31.00002278725131	2.580254010333666e-8	1.273097328698631e-5	Reference	COG3419	GC_00003929, GC_00004279, GC_00004734, GC_00005156, GC_00005402, GC_00005479, GC_00005813, GC_00006914	1	0	20	11
Uracil phosphoribosyltransferase (Upp) (PDB:2EHJ)	31.00002278725131	2.580254010333666e-8	1.273097328698631e-5	Reference	COG0035	GC_00003649	1	0	20	11
Biotin-(acetyl-CoA carboxylase) ligase (BirA2) (PDB:1BIA) (PUBMED:32188788)!!!Biotin operon repressor (BirA) (PDB:1BIA)	26.840007972412124	2.210141118607754e-7	4.9567437632775716e-5	Reference	COG0340!!!COG1654	GC_00003631	1	0.0909	20	11
Hypoxanthine-guanine phosphoribosyltransferase (HptA) (PDB:1G9S)	26.840007972412124	2.210141118607754e-7	4.9567437632775716e-5	Reference	COG0634	GC_00003626	1	0.0909	20	11
Na+/proline symporter (PutP) (PDB:5NVA)!!!Signal transduction histidine kinase (BaeS) (PDB:1JOY)!!!CheY-like REC (receiver) domain, includes chemotaxis protein CheY  and sporulation regulator Spo0F (CheY) (PDB:6QRJ)	26.840007972412124	2.210141118607754e-7	4.9567437632775716e-5	Reference	COG0591!!!COG0642!!!COG0784	GC_00003625	1	0.0909	20	11
Sugar phosphate isomerase/epimerase (YcjR) (PDB:3KTC) (PUBMED:30742415)!!!4-hydroxyphenylpyruvate dioxygenase and related hemolysins (HppD)	26.840007972412124	2.210141118607754e-7	4.9567437632775716e-5	Reference	COG1082!!!COG3185	GC_00003635	1	0.0909	20	11
Adenylylsulfate kinase or related kinase (CysC) (PDB:2GKS)!!!Sulfate adenylyltransferase subunit 1, EFTu-like GTPase family (CysN) (PDB:1ZUN)	26.840007972412124	2.210141118607754e-7	4.9567437632775716e-5	Reference	COG0529!!!COG2895	GC_00003641	1	0.0909	20	11
Dephospho-CoA kinase (CoaE) (PDB:1JJV)	26.840007972412124	2.210141118607754e-7	4.9567437632775716e-5	Chennai	COG0237	GC_00003871	0	0.9091	20	11
Integrase/recombinase, includes phage integrase (FimB)	23.60769255854489	1.1811438709827212e-6	1.9390525788154231e-4	Reference	COG0582	GC_00003794, GC_00004274, GC_00004368, GC_00004389, GC_00004618, GC_00004620, GC_00004650, GC_00004903, GC_00004971, GC_00005193, GC_00005282, GC_00006040, GC_00006264, GC_00006514, GC_00006573, GC_00006667, GC_00006670, GC_00006713, GC_00007257, GC_00007258, GC_00007377, GC_00007388, GC_00007404	0.9	0	20	11
Flagellar basal body P-ring protein FlgI (FlgI)	23.05785151440476	1.571992362233825e-6	1.9390525788154231e-4	Reference	COG1706	GC_00002409	1	0.1818	20	11
Long-chain fatty acid transport protein (FadL) (PDB:1T16)	23.05785151440476	1.571992362233825e-6	1.9390525788154231e-4	Reference	COG2067	GC_00003606, GC_00004385	1	0.1818	20	11
Outer membrane protein OmpW (OmpW) (PDB:2F1T)	23.05785151440476	1.571992362233825e-6	1.9390525788154231e-4	Reference	COG3047	GC_00003605	1	0.1818	20	11
Protein translocase subunit SecG (SecG) (PDB:2AKH)	23.05785151440476	1.571992362233825e-6	1.9390525788154231e-4	Chennai	COG1314	GC_00003907	0	0.8182	20	11
ADP-heptose synthase, bifunctional sugar kinase/adenylyltransferase (RfaE) (PDB:5X9Q)	23.05785151440476	1.571992362233825e-6	1.9390525788154231e-4	Reference	COG2870	GC_00003609	1	0.1818	20	11
Predicted hydrolase of the alpha/beta-hydrolase fold (YheT)	23.05785151440476	1.571992362233825e-6	1.9390525788154231e-4	Reference	COG0429	GC_00003608	1	0.1818	20	11
Type IV pilus assembly protein FimT (FimT) (PUBMED:17322192;28771515)	23.05785151440476	1.571992362233825e-6	1.9390525788154231e-4	Reference	COG4970	GC_00003817, GC_00003827, GC_00004407, GC_00004711, GC_00004741, GC_00004910, GC_00005129, GC_00005227, GC_00005252, GC_00005257, GC_00005833, GC_00006834	1	0.1818	20	11
Type IV pilus assembly protein PilW (PilW)	23.05785151440476	1.571992362233825e-6	1.9390525788154231e-4	Reference	COG4966	GC_00003876, GC_00004271, GC_00004418, GC_00004815, GC_00005176, GC_00005249, GC_00006689	1	0.1818	20	11
Cytochrome c553 (CytC553) (PDB:6Q2U)!!!Glucose dehydrogenase, PQQ-dependent (Gcd) (PDB:1FLG)	20.70357143642886	5.361590653369081e-6	4.723944336379116e-4	Reference	COG2863!!!COG4993	GC_00003715	0.85	0	20	11
Acetyltransferase involved in cellulose biosynthesis, CelD/BcsL family (BcsL)	20.70357143642886	5.361590653369081e-6	4.723944336379116e-4	Reference	COG5653	GC_00003707	0.85	0	20	11
Carbohydrate-selective porin OprB (OprB) (PDB:4GEY)	20.70357143642886	5.361590653369081e-6	4.723944336379116e-4	Reference	COG3659	GC_00003708	0.85	0	20	11
Type I restriction-modification system, DNA methylase subunit (HsdM) (PDB:2AR0) (PUBMED:26872910)	20.70357143642886	5.361590653369081e-6	4.723944336379116e-4	Reference	COG0286	GC_00004048, GC_00004119, GC_00004159, GC_00004338, GC_00004701, GC_00004732, GC_00004839, GC_00004958, GC_00005016, GC_00005087, GC_00005161, GC_00005177, GC_00005178, GC_00005473, GC_00005532, GC_00005577, GC_00005782, GC_00006543, GC_00006589, GC_00006653, GC_00006860, GC_00006888, GC_00007670	0.85	0	20	11
Lipoate-protein ligase A (LplA) (PDB:4TVW)	20.70357143642886	5.361590653369081e-6	4.723944336379116e-4	Reference	COG0095	GC_00003703	0.85	0	20	11
TPP-dependent pyruvate or acetoin dehydrogenase subunit alpha (AcoA) (PDB:1DTW)	20.70357143642886	5.361590653369081e-6	4.723944336379116e-4	Reference	COG1071	GC_00003701	0.85	0	20	11
