COG20_FUNCTION	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_Reference	p_Chennai	N_Reference	N_Chennai
Alanine dehydrogenase (includes sporulation protein SpoVN) (Ald) (PDB:2EEZ)	44.10896002888124	3.1059595008730716e-11	4.149561893166424e-8	Reference	COG0686	GC_00000037	1	0.1667	39	18
Ribosomal protein L36 (RpmJ) (PDB:1DFE) (PUBMED:21627333)	40.20930494306497	2.2815892286355433e-10	1.524101604728543e-7	Chennai	COG0257	GC_00002317, GC_00002387	0	0.7778	39	18
Translation initiation factor IF-1 (InfA) (PDB:5FIM)	36.488698102830384	1.5355402512412911e-9	4.1029635513168226e-7	Chennai	COG0361	GC_00002259	0	0.7222	39	18
Beta-glucosidase/6-phospho-beta-glucosidase/beta-galactosidase (BglB) (PDB:4HZ6)	36.48869810283034	1.5355402512413257e-9	4.1029635513168226e-7	Reference	COG2723	GC_00002100	1	0.2778	39	18
Phosphotransferase system cellobiose-specific component IIC (CelB) (PDB:3QNQ)	36.48869810283034	1.5355402512413257e-9	4.1029635513168226e-7	Reference	COG1455	GC_00002117	1	0.2778	39	18
Transposase InsO and inactivated derivatives (Tra5)	35.93065310187116	2.0446655188407668e-9	4.5527885552854407e-7	Chennai	COG2801	GC_00002265, GC_00002691, GC_00002814, GC_00002887, GC_00003131	0.0256	0.7778	39	18
Phosphotransferase system cellobiose-specific component IIB (CelA) (PDB:1E2B)	32.933602716815756	9.5360664789375e-9	1.8200264022657858e-6	Reference	COG1440	GC_00002107	1	0.3333	39	18
Uncharacterized conserved protein RhaS, contains 28 RHS repeats (RhsA) (PDB:4IGL)	26.277683714401512	2.9568570443925355e-7	3.950361011308428e-5	Reference	COG3209	GC_00000048, GC_00000077, GC_00001826, GC_00002152, GC_00002580, GC_00003249	1	0.4444	39	18
DNA-directed RNA polymerase, beta' subunit/160 kD subunit (RpoC) (PDB:1NT9)	26.277683714401512	2.9568570443925355e-7	3.950361011308428e-5	Reference	COG0086	GC_00002042	1	0.4444	39	18
ABC-type transport system involved in cytochrome bd biosynthesis, fused ATPase and permease components (CydC)	26.277683714401512	2.9568570443925355e-7	3.950361011308428e-5	Reference	COG4987	GC_00002088	1	0.4444	39	18
Dihydrolipoamide dehydrogenase (E3) component of pyruvate/2-oxoglutarate dehydrogenase complex or glutathione oxidoreductase (Lpd) (PDB:6QKG)!!!2,4-dienoyl-CoA reductase or related NADH-dependent reductase, Old Yellow Enzyme (OYE) family (FadH) (PDB:1BWK)	23.157761227891765	1.4923963445355732e-6	1.1076897312775143e-4	Reference	COG1249!!!COG1902	GC_00000084	1	0.5	39	18
Leucine-rich repeat (LRR) protein (LRR) (PDB:4OW2)	23.157761227891765	1.4923963445355732e-6	1.1076897312775143e-4	Reference	COG4886	GC_00000074	1	0.5	39	18
Uncharacterized periplasmic protein SanA, affects membrane permeability for vancomycin (SanA)	23.157761227891765	1.4923963445355732e-6	1.1076897312775143e-4	Reference	COG2949	GC_00002070	1	0.5	39	18
Signal transduction histidine kinase (BaeS) (PDB:1JOY)	23.157761227891765	1.4923963445355732e-6	1.1076897312775143e-4	Reference	COG0642	GC_00002072	1	0.5	39	18
Predicted phospholipase, patatin/cPLA2 family (YjjU)	23.157761227891765	1.4923963445355732e-6	1.1076897312775143e-4	Reference	COG4667	GC_00002076	1	0.5	39	18
Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain (PurL1) (PDB:3VIU)	23.157761227891765	1.4923963445355732e-6	1.1076897312775143e-4	Reference	COG0046	GC_00002079	1	0.5	39	18
Glucan-binding domain (YG repeat) (PDB:1H09)	23.157761227891765	1.4923963445355732e-6	1.1076897312775143e-4	Reference	COG5263	GC_00001683	1	0.5	39	18
Nitric oxide reductase large subunit (NorB) (PDB:3WFC)	23.157761227891765	1.4923963445355732e-6	1.1076897312775143e-4	Reference	COG3256	GC_00001828	1	0.5	39	18
GMP synthase, glutamine amidotransferase domain (GuaA1) (PDB:4WIM)!!!GMP synthase, PP-ATPase domain/subunit (GuaA2) (PDB:4WIM)	20.165064082489742	7.103857556943411e-6	3.6502898831063064e-4	Reference	COG0518!!!COG0519	GC_00002044	1	0.5556	39	18
Lyzozyme M1 (1,4-beta-N-acetylmuramidase), GH25 family (Acm) (PDB:1H09)	20.165064082489742	7.103857556943411e-6	3.6502898831063064e-4	Reference	COG3757	GC_00002051	1	0.5556	39	18
Predicted metalloendopeptidase (PepO) (PDB:1DMT)	20.165064082489742	7.103857556943411e-6	3.6502898831063064e-4	Reference	COG3590	GC_00002041	1	0.5556	39	18
Na+/alanine symporter (AlsT) (PDB:6CSE)	20.165064082489742	7.103857556943411e-6	3.6502898831063064e-4	Reference	COG1115	GC_00002046	1	0.5556	39	18
Dephospho-CoA kinase (CoaE) (PDB:1JJV)	20.165064082489742	7.103857556943411e-6	3.6502898831063064e-4	Reference	COG0237	GC_00002038	1	0.5556	39	18
Na+ or H+-translocating membrane pyrophosphatase (OVP1) (PDB:4A01) (PUBMED:11342551)	20.165064082489742	7.103857556943411e-6	3.6502898831063064e-4	Reference	COG3808	GC_00002048	1	0.5556	39	18
3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) synthase, class II (AroG2) (PDB:6BMC)	20.165064082489742	7.103857556943411e-6	3.6502898831063064e-4	Reference	COG3200	GC_00001967	1	0.5556	39	18
Phosphotransferase system cellobiose-specific component IIA (CelC) (PDB:1E2A)	20.165064082489742	7.103857556943411e-6	3.6502898831063064e-4	Reference	COG1447	GC_00002036	1	0.5556	39	18
DNA segregation ATPase FtsK/SpoIIIE or related protein (FtsK) (PDB:2IUT)!!!Forkhead associated (FHA) domain, binds pSer, pThr, pTyr (FHA) (PDB:2FEZ)	18.9672246833803	1.329832747657096e-5	6.580209447666223e-4	Reference	COG1674!!!COG1716	GC_00000060	0.9231	0.3889	39	18
3-dehydroquinate synthetase (AroB) (PDB:3ZOK)	17.291876678901673	3.205542870368585e-5	0.0010445378719054707	Reference	COG0337	GC_00001992	1	0.6111	39	18
