Samples,Actinomycetes,Bacilli,Malasseziomycetes,Gammaproteobacteria,Alphaproteobacteria,Tissierellia,Flavobacteriia,Betaproteobacteria,Saccharomycetes,CFGB2428,Deinococci,Sphingobacteriia,Negativicutes,CFGB87826,Eurotiomycetes,Cyanophyceae,Bacteroidia,Chitinophagia,Clostridia,CFGB73567,CFGB8214,CFGB1672,Halobacteria,Bdellovibrionia,CFGB4355,Fusobacteriia,Erysipelotrichia,Coriobacteriia,Methanobacteria,CFGB38303,CFGB95179,CFGB50354,CFGB8227,CFGB11479,CFGB8921,Cytophagia,CFGB77720,CFGB42285,Myxococcia,CFGB42846,CFGB93492,CFGB1851,CFGB24767,CFGB1354,CFGB3054,Terriglobia,CFGB4690,CFGB26033,CFGB84486,Candidatus Nanoperiomorbia,Spirochaetia,CFGB74764,Epsilonproteobacteria,Holophagae,CFGB1448,CFGB658,CFGB511,CFGB2833,CFGB10325,CFGB4774,CFGB544,CFGB18266,CFGB74620,CFGB3176,CFGB77603,CFGB1479,CFGB31455,CFGB94566,CFGB1337,Fibrobacteria,CFGB653,CFGB94634,CFGB1765,CFGB84085,Candidatus Saccharibacteria unclassified,CFGB29167,CFGB14294,CFGB57268,CFGB73111,CFGB27697,Bacillota unclassified,Rubrobacteria,CFGB84733
368257238,0.442354576998789,0.05636969587356787,0.04276375451299407,0.03535644543111746,0.006455096320675631,0.002101120154003788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
368257968,0.4791270210786685,0.05540889032385116,0.00863195095770488,0.08249240207444465,0.02733017118744768,0.0,0.004645474753508169,0.003097160319153111,0.001120629690356351,0.0008314542180627239,0.0007686102031787879,0.000230583060953636,0.000147012478792969,0.000137313508208345,0.000129341751563448,8.8885086590598e-05,8.8220773536856e-05,1.461488718231e-05,1.3618417601698e-05,9.698970584624e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
368258054,0.11406601161353275,0.014487846489113589,0.0,0.061302493527276875,0.012868444979352658,0.0,0.010982072746011288,0.0,0.0,0.0,0.00022908407322786098,0.0,0.0,0.0006445678844765899,0.0,0.0,0.0,0.000468451973184021,0.0,0.0,9.3823783184326e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
368259600,0.40020063260102573,0.037633784093755264,0.005252619894141072,0.19194462322964853,0.028323150914218106,0.0,0.0036304037361765203,0.00059249119315902,0.0,0.0,0.0,0.0,0.0,0.0,0.0007711408219592531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
368259989,0.2989218054052825,0.03199522788375455,0.004958398125997429,0.06555591039017875,0.02813615758059945,0.0,0.013025217315834716,0.002031447298154033,0.00019412263234704,0.0,0.000274686654339063,0.0,0.000369959645940063,0.00010439344692085101,0.0,0.000563143407886531,0.000325162115398439,2.0744565041231e-05,8.8343233882485e-05,0.0,0.000250946645638861,0.000265432074676273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
368273379,0.3239524023059658,0.02223538567315674,0.024454862407757804,0.2345445446105492,0.06629942017625946,0.0,0.0015715210013881459,0.012528989414615973,9.6529073882104e-05,0.0,0.000176450995268362,0.0,0.0,0.0,0.006104512471598004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
368281318,0.3593001744073227,0.06887903677221692,0.003134270922679327,0.1200872010546576,0.04146559038959887,0.0,0.001460020571208924,0.00032389003401008497,0.0,0.0,0.000457207196677698,0.0,0.0,0.0,0.0030094582690408252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000792296830606401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
368281322,0.21775948507515486,0.0025935600602371273,0.0,0.029784424927651765,0.045690816779129735,0.0,0.002902450527251757,0.0,0.0,0.0,0.000658772699184652,0.0,0.0,0.0,0.0,3.9015536886396e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
368281337,0.3873798446751313,0.033335261609470083,0.006083781988698438,0.0687084814743587,0.012400159253000314,0.0,0.000592231972535813,0.000684241530989275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
368281369,0.2886587546734071,0.07361779205007907,0.003033591543113491,0.14138389984669955,0.04981679078159194,0.0,0.01093098655184619,0.008241258947667154,0.0,0.00027108911234795496,0.000132574743520091,0.0,3.3215768711427005e-05,0.0,0.0,4.7690001257553e-05,0.000199467611063938,0.0,0.0,0.0,0.0,0.0,0.0,0.000295539608760533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
368281370,0.3570374515782515,0.09321202014543051,0.003820510725499917,0.07308060234671955,0.02895431370021484,0.0,0.008925731465873409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
