feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Brachybacterium.sp..P6.10.X1	is_Rod	Rod	-0.00161406101147742	0.000303138227159485	41	41	4.86924152161748e-06	0.000415077773947532
Brachybacterium.vulturis	is_Rod	Rod	-0.00144593848805365	0.000274100810937445	41	41	5.71207945799355e-06	0.000415077773947532
Brachybacterium.avium	is_Rod	Rod	-0.00141351115514825	0.000264500684158298	41	41	4.59577969076931e-06	0.000415077773947532
Brachybacterium.sp..SGAir0954	is_Rod	Rod	-0.00184780886571426	0.000371362875797865	41	41	1.47240323793003e-05	0.000598662881844128
Brachybacterium.faecium	is_Rod	Rod	-0.00182224245577274	0.000371753054333733	41	41	1.92231200592151e-05	0.000598662881844128
Brachybacterium.ginsengisoli	is_Rod	Rod	-0.00179239616316904	0.000363225430680606	41	41	1.74176971580735e-05	0.000598662881844128
Acinetobacter.indicus	is_Rod	Rod	0.0147426903542436	0.00299996748525414	41	41	1.73464567721613e-05	0.000598662881844128
Malassezia.restricta	is_Rod	Rod	0.0145426568229434	0.00326131807567104	41	41	7.08689692134138e-05	0.00193117941106553
Aspergillus.oryzae	Year_categorical	Batch_2	-0.00291192679051238	0.000671816401271819	41	41	0.000103450836422185	0.00250580914889293
Serinicoccus.sp..JLT9	is_Rod	Rod	-0.00160223008326863	0.000401187679768012	41	41	0.000287779985726202	0.00394120654294867
Serinicoccus.marinus	is_Rod	Rod	-0.00184575679964097	0.000466012127756893	41	41	0.000317213397350784	0.00394120654294867
Brachybacterium.saurashtrense	is_Rod	Rod	-0.00223660993162504	0.000562127709201654	41	41	0.000315101899399086	0.00394120654294867
Brevibacterium.linens	is_Rod	Rod	-0.00129085142106306	0.000312090322041467	41	41	0.000250597405332703	0.00394120654294867
Pseudomonas.stutzeri	is_Rod	Rod	0.0552133776111937	0.0137388108142652	41	41	0.000267067674210764	0.00394120654294867
Paracoccus.yeei	is_Rod	Rod	-0.00349844661873731	0.000877323135662822	41	41	0.000292936076008435	0.00394120654294867
Paracoccus.zhejiangensis	is_Rod	Rod	-0.00216693523402634	0.000548298388600248	41	41	0.000325420723729706	0.00394120654294867
Paracoccus.aminovorans	is_Rod	Rod	-0.00196441772420246	0.000495696513647801	41	41	0.000315159451395712	0.00394120654294867
Paracoccus.jeotgali	is_Rod	Rod	-0.00180170256285333	0.000444634236174225	41	41	0.000241867975074561	0.00394120654294867
Aspergillus.fumigatus	Year_categorical	Batch_2	-0.00189664914754077	0.000482222251058413	41	41	0.000344170170070184	0.00394889984606842
Ornithinimicrobium.sp..HY006	is_Rod	Rod	-0.00172437318692464	0.000448525550122141	41	41	0.000447497937233297	0.00464545477699328
Paracoccus.denitrificans	is_Rod	Rod	-0.00183406368889056	0.000476254151811413	41	41	0.000438196570826832	0.00464545477699328
Paracoccus.pantotrophus	is_Rod	Rod	-0.00189980075443034	0.000497295709005825	41	41	0.0004794684360099	0.00475109632046173
Serinicoccus.profundi	is_Rod	Rod	-0.00204737474796378	0.000541925701586785	41	41	0.000542438579218553	0.00492846218465418
Stenotrophomonas.acidaminiphila	is_Rod	Rod	-0.00151770967084969	0.000402221452014172	41	41	0.00055130555862704	0.00492846218465418
Paracoccus.sp..2251	is_Rod	Rod	-0.00239415162724155	0.000636092829896639	41	41	0.000565190617506213	0.00492846218465418
Serinicoccus.chungangensis	is_Rod	Rod	-0.00182204857357505	0.000496059428010612	41	41	0.000735103878819122	0.00593528316972476
Rhodobacter.sphaeroides	is_Rod	Rod	-0.0019785703772919	0.000536973423314672	41	41	0.000711276929328906	0.00593528316972476
Micropruina.glycogenica	is_Rod	Rod	-0.00208074013857911	0.000576408519624197	41	41	0.000883647271696441	0.00642117017432747
Ornithinimicrobium.sp..AMA3305	is_Rod	Rod	-0.00196185361263439	0.00054089991663092	41	41	0.000839124272597299	0.00642117017432747
Lysobacter.oculi	is_Rod	Rod	-0.00161544998793511	0.000447065632111065	41	41	0.000872400129741962	0.00642117017432747
Paracoccus.sp..AK26	is_Rod	Rod	-0.00912435276881783	0.00255511278054133	41	41	0.000984892644879957	0.0069260192446397
Paracoccus.contaminans	is_Rod	Rod	-0.00293378593866608	0.000828897191310355	41	41	0.00107770314294551	0.00734185266131632
Nocardioides.sp..CF8	is_Rod	Rod	-0.00188346148594506	0.000541753689276244	41	41	0.00130252153780642	0.00766174176892524
Nocardioides.sp..JS614	is_Rod	Rod	-0.00180641752644494	0.000521966122885744	41	41	0.00135878757285295	0.00766174176892524
Kocuria.turfanensis	is_Rod	Rod	-0.00199382138298077	0.000574095921246732	41	41	0.00130103736754573	0.00766174176892524
Janibacter.melonis	is_Rod	Rod	-0.00274857582882646	0.000786998012763389	41	41	0.00123094395812216	0.00766174176892524
Thermomonas.sp..SY21	is_Rod	Rod	-0.00222437665983625	0.000640601260809101	41	41	0.00130832443254938	0.00766174176892524
Brevundimonas.naejangsanensis	is_Rod	Rod	-0.00130344126243885	0.000377285098175406	41	41	0.00137067857333984	0.00766174176892524
