feature	Cutibacterium.acnes	Cutibacterium.granulosum	Tessaracoccus.sp..T2.5.30	Tessaracoccus.flavus	Propioniciclava.sp..HDW11	Nocardioides.sp..CF8	Nocardioides.sp..zg.579	Nocardioides.sp..JS614	Nocardioides.sp..R.3366	Nocardioides.sp..HDW12B	Nocardioides.seonyuensis	Micropruina.glycogenica	Micrococcus.luteus	Micrococcus.sp..KBS0714	Kocuria.palustris	Kocuria.flava	Kocuria.sp..KD4	Kocuria.rosea	Kocuria.turfanensis	Rothia.mucilaginosa	Janibacter.indicus	Janibacter.limosus	Janibacter.melonis	Serinicoccus.profundi	Serinicoccus.sp..JLT9	Serinicoccus.chungangensis	Serinicoccus.marinus	Ornithinimicrobium.sp..AMA3305	Ornithinimicrobium.sp..HY006	Ornithinimicrobium.flavum	Phycicoccus.sp..HDW14	Microbacterium.aurum	Brachybacterium.sp..SGAir0954	Brachybacterium.sp..P6.10.X1	Brachybacterium.saurashtrense	Brachybacterium.faecium	Brachybacterium.ginsengisoli	Brachybacterium.vulturis	Brachybacterium.avium	Brevibacterium.sp..CS2	Brevibacterium.linens	Brevibacterium.luteolum	Kytococcus.sedentarius	Corynebacterium.segmentosum	Corynebacterium.jeikeium	Corynebacterium.ureicelerivorans	Corynebacterium.minutissimum	Corynebacterium.sanguinis	Corynebacterium.xerosis	Dietzia.sp..oral.taxon.368	Dietzia.lutea	Dietzia.timorensis	Gordonia.terrae	Gordonia.sp..JH63	Geodermatophilus.obscurus	Staphylococcus.epidermidis	Staphylococcus.hominis	Staphylococcus.capitis	Staphylococcus.arlettae	Staphylococcus.saprophyticus	Staphylococcus.haemolyticus	Exiguobacterium.mexicanum	Deinococcus.sp..NW.56	Chroococcidiopsis.thermalis	Acinetobacter.johnsonii	Acinetobacter.junii	Acinetobacter.sp..ACNIH1	Acinetobacter.indicus	Acinetobacter.baumannii	Acinetobacter.schindleri	Acinetobacter.towneri	Moraxella.osloensis	Pseudomonas.stutzeri	Pseudomonas.alcaligenes	Pseudomonas.aeruginosa	Pseudomonas.mendocina	Pseudomonas.oryzihabitans	Pseudomonas.putida	Escherichia.coli	Stenotrophomonas.maltophilia	Stenotrophomonas.acidaminiphila	Lysobacter.oculi	Luteimonas.sp..YGD11.2	Pseudoxanthomonas.suwonensis	Thermomonas.sp..SY21	Aeromonas.caviae	Rheinheimera.sp..LHK132	Paracoccus.sp..AK26	Paracoccus.sp..Arc7.R13	Paracoccus.sp..2251	Paracoccus.sanguinis	Paracoccus.yeei	Paracoccus.contaminans	Paracoccus.zhejiangensis	Paracoccus.aminovorans	Paracoccus.pantotrophus	Paracoccus.denitrificans	Paracoccus.jeotgali	Rhodobacter.sphaeroides	Sphingobium.yanoikuyae	Brevundimonas.naejangsanensis	Comamonas.aquatica	Massilia.oculi	Chryseobacterium.taklimakanense	Cloacibacterium.normanense	Malassezia.restricta	Aspergillus.fumigatus	Aspergillus.oryzae	Thalassiosira.pseudonana
368257968	0.062658074	0.003028427	0.002270093	0.00120499	0.002770741	0.001014618	0.000963782	0.000993231	0.000834062	0.000871926	0.000976754	0.001115238	0.083505416	0.003438972	0.035416957	0.00196718	0.00095116	0.000830556	0.000865966	0.001442342	0.037698269	0.003843907	0.004398897	0.001117692	0.000972546	0.000856149	0.00095081	0.000938889	0.000757282	0.001525082	0.001343825	0.001828345	0.004792613	0.004106502	0.008441941	0.005524653	0.005009981	0.002828589	0.002446091	0.008699978	0.001342423	0.001972439	0.009286521	0.011115217	0.016282965	0.010848065	0.010190001	0.003655989	0.002372817	0.0018904	0.001364861	0.002108119	0.002245201	0.001674084	0.000892962	0.003038243	0.009489515	0.002128453	0.01409982	0.013437548	0.001838863	0.001260033	0.000584439	0.001271603	0.002579317	0.00737193	0.001312622	0.011247391	0.002300595	0.003217397	0.001700028	0.012297769	0.037302449	0.004553158	0.001975945	0.003181286	0.002264484	0.000888755	0.001082983	0.002441533	0.001153803	0.001607471	0.001617639	0.002418394	0.001772601	0.000949407	0.002352833	0.007993182	0.00372751	0.001288081	0.004968261	0.004006933	0.001598706	0.001401322	0.000873679	0.000736597	0.000748517	0.00075623	0.000846333	0.001268798	0.001123652	0.00233916	0.000907336	0.001200432	0.003169015	0.022223422	0.002585277	0.003186194	0.001950702
368258054	0.004256114	0.000324908	0.007060015	0.00289186	0.005198526	0.002514895	0.002303076	0.002349748	0.002173831	0.002428731	0.002967253	0.002355133	0.020713325	0.000353629	0.0068105	0.005304435	0.00113987	0.001920726	0.00113269	0.000337473	0.006902048	0.002193577	0.004823356	0.001915341	0.001322967	0.002324617	0.00139836	0.002288716	0.001620949	0.004239958	0.002838007	0.002730303	0.00177353	0.001373229	0.002509509	0.00213434	0.001746604	0.001096788	0.000919076	0.00127091	0.00177712	0.000599554	0.004674365	0.001053707	0.001480934	0.000870609	0.000897536	0.000409276	0.001170386	0.001830973	0.001455803	0.000954978	0.002997769	0.002163061	0.004457162	0.000326703	0.000682127	0.000206433	0.003179071	0.000479284	0.000597759	0.002204347	0.003247284	0.003839657	0.001549146	0.004204057	0.000813167	0.003947361	0.000775471	0.001538376	0.003328062	0.009449254	0.037956778	0.003471667	0.003317291	0.002324617	0.001529401	0.001161411	0.002426936	0.002294101	0.001238599	0.001793276	0.000698283	0.003121629	0.003609888	0.000384145	0.000719824	0.013655106	0.005882448	0.002617214	0.00556113	0.003460897	0.002818262	0.002952892	0.001972783	0.001656851	0.001651465	0.001484524	0.002107413	0.002259995	0.000788036	0.001251165	0.001735834	0.001039346	0.010759656	0.004047885	0.001848923	0.001807637	0.003994033
368259600	0.07729929	0.00202156	0.001194603	0.000676153	0.001013244	0.000758947	0.000772746	0.000766833	0.000719522	0.000675168	0.00070178	0.00068601	0.052905537	0.002415818	0.01430271	0.001192632	0.000416928	0.000739235	0.000542105	0.001055627	0.00809314	0.001621388	0.002697713	0.001600689	0.000713608	0.000646584	0.000688967	0.000648555	0.000503665	0.001095053	0.000854555	0.001816546	0.002200948	0.00162533	0.003018048	0.00192201	0.001715024	0.001103924	0.00091468	0.003491158	0.001224172	0.001656871	0.006772374	0.007221829	0.006095235	0.005056364	0.003221091	0.004624651	0.000921579	0.001769235	0.001209388	0.001864842	0.005026795	0.004183082	0.000722479	0.002450316	0.004682804	0.00296778	0.014529408	0.002029445	0.003765168	0.00051845	0.000397215	0.000829914	0.002602106	0.011116116	0.003682374	0.015991121	0.002398077	0.005451608	0.002383292	0.009841676	0.16054794	0.004566498	0.003358096	0.007132135	0.001621388	0.001348364	0.001896383	0.002316268	0.00090778	0.00135822	0.002808106	0.002065914	0.000945235	0.001462699	0.001965378	0.007126221	0.007734364	0.001318794	0.010371953	0.00383712	0.00182246	0.001619416	0.001063512	0.000960019	0.000880182	0.000970861	0.000832871	0.002573522	0.000947206	0.002376393	0.000539148	0.001437072	0.0014489	0.020294452	0.00543978	0.006075522	0.005093819
368259989	0.074104885	0.004142981	0.002163547	0.001399942	0.003059934	0.001039775	0.000945597	0.000959597	0.000925659	0.000978263	0.001116984	0.000979535	0.050840814	0.001827561	0.033028033	0.002734978	0.002463898	0.001252312	0.00127819	0.001188254	0.014806299	0.005410141	0.004125588	0.00139273	0.000904872	0.001095349	0.000983778	0.001181042	0.00097699	0.001909436	0.001288371	0.006228046	0.005043186	0.003362831	0.007526599	0.004310974	0.004066196	0.002287421	0.001987918	0.003643244	0.003451918	0.001215404	0.007991549	0.005121668	0.002426991	0.008428925	0.002837641	0.004576114	0.0016969	0.001495393	0.001053775	0.003142658	0.001283705	0.00093584	0.001300249	0.003269077	0.005682493	0.001518725	0.013787735	0.002452444	0.000834026	0.001083895	0.000870934	0.002820247	0.002617892	0.010263698	0.001656174	0.006883898	0.002636982	0.0032975	0.001031291	0.006844021	0.043214522	0.005138637	0.005606133	0.005529772	0.002724797	0.0016829	0.000828087	0.002332389	0.000854813	0.000909962	0.001077107	0.00136855	0.00104826	0.002198758	0.002275118	0.011515162	0.006239076	0.001986221	0.00928289	0.004249885	0.002255604	0.001822046	0.001212011	0.001118257	0.001042745	0.000976142	0.001275644	0.003535066	0.000787361	0.001579814	0.000544705	0.001691385	0.002509715	0.015797713	0.002164396	0.002745584	0.001876771
368273379	0.051963206	0.001981145	0.00122381	0.00064346	0.001145607	0.000663354	0.00055291	0.000608475	0.000569373	0.000600929	0.000678446	0.000484996	0.067128431	0.002853041	0.020957741	0.001284863	0.000482252	0.000530958	0.000543306	0.00069148	0.01586082	0.002750828	0.003003273	0.000969307	0.000655122	0.000625625	0.000808785	0.00068119	0.000600243	0.001240273	0.000805355	0.001092099	0.00174242	0.001470767	0.00290792	0.001987319	0.001820623	0.001051626	0.000926089	0.004120754	0.001302013	0.002601282	0.004882205	0.00687364	0.004836929	0.006644518	0.004258638	0.002249368	0.001024872	0.001432351	0.000990572	0.001235472	0.002284353	0.001754767	0.000624253	0.002169107	0.003751004	0.001588071	0.007374414	0.001920778	0.000792321	0.000644832	0.000438349	0.000529586	0.05244683	0.017295916	0.002208894	0.021861878	0.004246976	0.004278532	0.005319182	0.011304462	0.058778536	0.006809842	0.00440887	0.007567863	0.004542639	0.002422238	0.002051802	0.003400462	0.00152496	0.001321221	0.001646381	0.007552772	0.001151781	0.00445346	0.007310616	0.010402382	0.0035651	0.001428921	0.006694596	0.003601458	0.001937927	0.001349346	0.000930205	0.000897963	0.000798495	0.000799867	0.000896592	0.002344035	0.001540052	0.012663412	0.000435605	0.000554968	0.001596989	0.042193994	0.009393974	0.013071577	0.005013229
368281318	0.040931004	0.002386401	0.001589973	0.000954945	0.002098188	0.000881931	0.00089442	0.000837738	0.000852149	0.000851188	0.00092132	0.001037566	0.085436806	0.004087816	0.024164712	0.003340385	0.001120187	0.001036605	0.00105678	0.000980884	0.016083228	0.003967728	0.00559709	0.001538095	0.00097512	0.001231629	0.001243157	0.001149008	0.001054858	0.001827268	0.001426653	0.00311654	0.003232786	0.002609285	0.005046604	0.003329817	0.002971473	0.001833993	0.001590934	0.008025762	0.001559231	0.001570759	0.008457121	0.003873578	0.004666163	0.005558662	0.00201941	0.002776449	0.002260548	0.001316171	0.000922281	0.001340189	0.00147757	0.001057741	0.001581327	0.003941789	0.005648968	0.001931986	0.030646615	0.008545506	0.001943514	0.000687868	0.001313289	0.001927182	0.003101168	0.012312446	0.00302143	0.013701631	0.002474786	0.00603037	0.001405517	0.010098012	0.063445217	0.00454031	0.002500725	0.004907301	0.00182919	0.001474688	0.001418967	0.002605443	0.001099051	0.001229707	0.003932182	0.001730237	0.001105776	0.001048133	0.003034879	0.015241647	0.009556172	0.002198102	0.010111461	0.005052368	0.002558368	0.001799408	0.001215297	0.00117879	0.001086562	0.001105776	0.001106737	0.002280723	0.001278704	0.001620716	0.000744549	0.001396871	0.001677398	0.012487295	0.008028644	0.012679436	0.002912869
368281322	0.006010585	0.000539903	0.007563639	0.002702847	0.006475501	0.002792831	0.002484553	0.002344578	0.002214601	0.002946136	0.003376059	0.003221087	0.038458078	0.000764862	0.018914929	0.00720537	0.002191272	0.001896325	0.002359575	0.000313277	0.009744913	0.002947803	0.006403847	0.002659521	0.001501396	0.002064628	0.001733021	0.002399568	0.001826338	0.004369214	0.003367727	0.003432715	0.002192939	0.001789678	0.003287742	0.002346244	0.002046298	0.001299766	0.001139795	0.001917988	0.000878175	0.000961494	0.011589581	0.000778193	0.001909656	0.00209129	0.000781526	0.000468249	0.001079806	0.002019636	0.001553054	0.00116479	0.003052784	0.002222933	0.008063549	0.000268285	0.001064808	0.000131643	0.002629527	0.000229959	0.000614889	0.001539723	0.00362768	0.002376239	0.000688209	0.001309764	0.000289948	0.001526392	0.000328274	0.000876509	0.000404927	0.00227959	0.034083865	0.00335273	0.003016124	0.002149613	0.001059809	0.001356423	0.001734688	0.002356243	0.001249775	0.002136282	0.001259773	0.002734508	0.00401761	0.000439921	0.0005549	0.021339492	0.006897092	0.003952622	0.01363088	0.008176861	0.005953928	0.003842642	0.00276117	0.002679518	0.002421231	0.002194605	0.002829491	0.001919654	0.00146307	0.001506396	0.001171456	0.00101815	0.00298113	0.002074627	0.0020363	0.001899658	0.004390876
368281337	0.083257922	0.006813398	0.001907595	0.000887344	0.001766871	0.001547966	0.00135838	0.001346653	0.001190292	0.001284109	0.001485422	0.00102416	0.078731293	0.003635376	0.015225579	0.002108909	0.000854118	0.000971388	0.000961616	0.002147999	0.046136045	0.003414517	0.004374178	0.001458059	0.000826755	0.000854118	0.001006569	0.000901026	0.000713394	0.001778598	0.001497149	0.002142135	0.002427493	0.001891959	0.00320734	0.002091318	0.001985775	0.001256745	0.001006569	0.004342906	0.001835278	0.001227428	0.006916986	0.007126118	0.00444454	0.005789238	0.001907595	0.003983277	0.001008524	0.001315381	0.000891253	0.0046224	0.003287474	0.002445083	0.001362289	0.00383669	0.003690102	0.002474401	0.015268578	0.003860144	0.000987024	0.000881481	0.000944025	0.002022911	0.002708941	0.011861879	0.003031434	0.008105324	0.00222227	0.003723328	0.003009935	0.008138551	0.031922899	0.004503175	0.002232043	0.00619382	0.002216406	0.001340789	0.001012433	0.002470492	0.001168793	0.001229382	0.002226179	0.001696509	0.001262609	0.003445789	0.001780552	0.009158801	0.004518811	0.001471741	0.00643227	0.00393246	0.002081546	0.001704327	0.000979206	0.000953798	0.000789619	0.00080721	0.001049568	0.001925186	0.000756393	0.003557196	0.000533579	0.00131929	0.001854823	0.026127797	0.003461425	0.003977414	0.002353222
368281369	0.040363508	0.002355773	0.001339225	0.000729681	0.001559477	0.001056209	0.000949163	0.000973037	0.000864836	0.000933761	0.000998065	0.000975347	0.056966743	0.002435095	0.018798825	0.001726592	0.000877928	0.000735072	0.000816704	0.00161377	0.011069979	0.003239862	0.004307623	0.001417392	0.001034646	0.001082008	0.001422012	0.000916049	0.000764721	0.001361558	0.001128985	0.003275672	0.004273738	0.002493238	0.004537501	0.002919881	0.002724657	0.001756626	0.001488242	0.005926784	0.001897172	0.001285702	0.008966032	0.004789328	0.002853651	0.005687279	0.001412001	0.007344561	0.001016933	0.001337685	0.000915663	0.000985359	0.001157094	0.000884859	0.001156709	0.002387733	0.005510538	0.000946853	0.008520522	0.005979922	0.00134115	0.000576044	0.000766647	0.001440495	0.002927582	0.027546915	0.005166298	0.007803547	0.002591813	0.003610286	0.00453057	0.01351393	0.062047944	0.005460096	0.003008829	0.014174301	0.001260289	0.001567563	0.001025019	0.002396974	0.001135916	0.001038496	0.001755471	0.002439716	0.001048893	0.001621856	0.003731194	0.009507036	0.011602126	0.002171717	0.015517762	0.005853238	0.003092771	0.002201366	0.001472455	0.001356938	0.00120253	0.001422012	0.001288013	0.00157873	0.001436259	0.005766601	0.000864451	0.001116663	0.004122026	0.010630244	0.001853275	0.00219251	0.00175239
368281482	0.078660483	0.004025558	0.000651205	0.000333294	0.0006161	0.000439001	0.00041573	0.000417307	0.000407841	0.000417307	0.000432296	0.000329349	0.041373786	0.001819508	0.024968238	0.000816077	0.000520254	0.000394825	0.000420068	0.004839268	0.007952902	0.002486095	0.001970575	0.00067211	0.000433479	0.000404686	0.000399558	0.000425985	0.000344732	0.000692225	0.000591646	0.001193152	0.001295704	0.001023153	0.002013962	0.001313848	0.001122155	0.00069617	0.000672504	0.002130319	0.001069301	0.00072378	0.003820454	0.004679523	0.00229243	0.004019247	0.001602571	0.001726422	0.001115844	0.000803455	0.000527354	0.001955981	0.001153709	0.000883919	0.000462273	0.004135998	0.003817693	0.002569715	0.011605328	0.006636687	0.000897724	0.000230347	0.000303711	0.000515915	0.002418648	0.011322127	0.00245888	0.008694037	0.002435214	0.002950734	0.002926674	0.006314043	0.241784703	0.002572081	0.003783377	0.00529799	0.001748905	0.001032619	0.001652664	0.001577722	0.000540764	0.000793594	0.000579813	0.001061807	0.000598745	0.001319764	0.002539738	0.003822426	0.003403541	0.000707608	0.004182935	0.002066027	0.001079162	0.000900879	0.000530903	0.000448467	0.000429929	0.000457934	0.000463456	0.001217212	0.000435846	0.002186328	0.000263085	0.000538398	0.000902457	0.018391899	0.003185815	0.003898156	0.003229991
