feature,metadata,value,coef,stderr,N,N.not.0,pval,qval,Taxa,Log2FC,Mean_rel_abt_on_kiosk
Acinetobacter.indicus,is_Rod,Rod,0.0147329817378776,0.0028230206953462,47,47,4.42390512049126e-06,0.000486629563254,Acinetobacter.indicus,1.6558253271669816,0.0235117712413286
Brachybacterium.sp..P6.10.X1,is_Rod,Rod,-0.0014705799815919,0.0003188079714041,47,47,3.299244249722e-05,0.0012019290663371,Brachybacterium.sp..P6.10.X1,-0.3666473866276494,0.0017140529984441
Brachybacterium.vulturis,is_Rod,Rod,-0.0012960842405966,0.0002863437675627,47,47,4.37065115031681e-05,0.0012019290663371,Brachybacterium.vulturis,-0.3404959107589516,0.0012051083077263
Brachybacterium.avium,is_Rod,Rod,-0.0012820234844673,0.000277901372834,47,47,3.29401025838385e-05,0.0012019290663371,Brachybacterium.avium,-0.3762880342290451,0.0010289688380448
Pseudomonas.stutzeri,is_Rod,Rod,0.0568992188680427,0.0129637670418662,47,47,6.80828284887518e-05,0.0014978222267525,Pseudomonas.stutzeri,1.2373847622343717,0.1116767407851703
Brachybacterium.sp..SGAir0954,is_Rod,Rod,-0.0016180598110057,0.0003774424903303,47,47,9.44394441702093e-05,0.0017313898097871,Brachybacterium.sp..SGAir0954,-0.3813726528239876,0.0021288690687268
Brachybacterium.faecium,is_Rod,Rod,-0.001520606566441,0.000393290216083,47,47,0.0003525770171066,0.0052229416564867,Brachybacterium.faecium,-0.3248527143154263,0.0021642738949179
Brachybacterium.ginsengisoli,is_Rod,Rod,-0.0014930007821074,0.0003885922169294,47,47,0.0003798503022899,0.0052229416564867,Brachybacterium.ginsengisoli,-0.3334016671335096,0.0019952918011236
Serinicoccus.sp..JLT9,is_Rod,Rod,-0.0015409807356277,0.0004261420208637,47,47,0.0007523787127738,0.0057353492914672,Serinicoccus.sp..JLT9,-0.7973845816790064,0.0007667241833651
Serinicoccus.marinus,is_Rod,Rod,-0.0018210616045762,0.0005102508263803,47,47,0.0008657910462258,0.0057353492914672,Serinicoccus.marinus,-0.9110667761789006,0.0009616552438572
Ornithinimicrobium.sp..HY006,is_Rod,Rod,-0.0016642334872437,0.0004658157432864,47,47,0.0008561410521497,0.0057353492914672,Ornithinimicrobium.sp..HY006,-1.0252005206221124,0.0006657326873311
Paracoccus.yeei,is_Rod,Rod,-0.0033296261921195,0.0008837246813821,47,47,0.0004765653372931,0.0057353492914672,Paracoccus.yeei,-0.7821038138711724,0.0032871085058031
Paracoccus.zhejiangensis,is_Rod,Rod,-0.002073869194967,0.0005694678038192,47,47,0.0006968394315961,0.0057353492914672,Paracoccus.zhejiangensis,-0.8352116363467204,0.0014034353340412
Paracoccus.aminovorans,is_Rod,Rod,-0.0018568532261132,0.0005017732815553,47,47,0.000583950499528,0.0057353492914672,Paracoccus.aminovorans,-1.0241035087477712,0.0008535771389719
Paracoccus.pantotrophus,is_Rod,Rod,-0.0017844350756751,0.0005001681160638,47,47,0.0008690945240566,0.0057353492914672,Paracoccus.pantotrophus,-1.0031344614876634,0.0008062477720587
Paracoccus.denitrificans,is_Rod,Rod,-0.001717790539216,0.0004823852408393,47,47,0.0008863721632267,0.0057353492914672,Paracoccus.denitrificans,-1.01154656853104,0.0007311712390099
Paracoccus.jeotgali,is_Rod,Rod,-0.0017179596494579,0.0004710599142657,47,47,0.0006859836456341,0.0057353492914672,Paracoccus.jeotgali,-1.0012170951890127,0.0007418533093948
Paracoccus.sp..2251,is_Rod,Rod,-0.0022416495247853,0.0006360874637233,47,47,0.0009886458914765,0.0060417248923564,Paracoccus.sp..2251,-0.97523978752797,0.0013134422454311
Ornithinimicrobium.sp..AMA3305,is_Rod,Rod,-0.0019156486434398,0.000553606665618,47,47,0.0011926099782958,0.0066545114771529,Ornithinimicrobium.sp..AMA3305,-1.0811299273903785,0.0008436674355793
Rhodobacter.sphaeroides,is_Rod,Rod,-0.0018417676652557,0.0005330139198323,47,47,0.0012099111776641,0.0066545114771529,Rhodobacter.sphaeroides,-1.1155940747805992,0.0007431524354937
Serinicoccus.profundi,is_Rod,Rod,-0.0020659915656972,0.0006099589429695,47,47,0.0014760289396052,0.0073801446980264,Serinicoccus.profundi,-0.8072446036985905,0.0014571167690157
Serinicoccus.chungangensis,is_Rod,Rod,-0.0017740879403177,0.0005225414432439,47,47,0.0014421227524455,0.0073801446980264,Serinicoccus.chungangensis,-0.9239511710195156,0.0008909382668691
Paracoccus.sp..AK26,is_Rod,Rod,-0.0083829281727574,0.0025099580552237,47,47,0.00169176829445,0.0077539380162295,Paracoccus.sp..AK26,-1.032966107058325,0.0071719942345515
Paracoccus.contaminans,is_Rod,Rod,-0.002717519441297,0.0008102602428944,47,47,0.0016247990593462,0.0077539380162295,Paracoccus.contaminans,-1.0066252520809795,0.0017314174036826
Micropruina.glycogenica,is_Rod,Rod,-0.0019461244459838,0.00058558700393,47,47,0.00177393339367,0.0077962760508379,Micropruina.glycogenica,-1.2566674202914765,0.0006993490495735
Stenotrophomonas.acidaminiphila,is_Rod,Rod,-0.0013366078881877,0.0004037959518321,47,47,0.0018427561574707,0.0077962760508379,Stenotrophomonas.acidaminiphila,-0.5336524905190068,0.0008071293895606
Kocuria.turfanensis,is_Rod,Rod,-0.0018750850560316,0.0005738065947529,47,47,0.0020795584186251,0.0084722750388431,Kocuria.turfanensis,-1.2831750753700015,0.0006280929634458
Kocuria.rosea,is_Rod,Rod,-0.0018994486354644,0.0005853959357457,47,47,0.0022205914619075,0.0087237521717797,Kocuria.rosea,-1.2731110861900898,0.0006528595212108
Nocardioides.sp..CF8,is_Rod,Rod,-0.0017478210287135,0.0005541724419153,47,47,0.0028683309558927,0.0094132937688783,Nocardioides.sp..CF8,-1.023942787194153,0.0007480322948967
Nocardioides.sp..zg.579,is_Rod,Rod,-0.0016686644054503,0.0005316832266724,47,47,0.0029951389264612,0.0094132937688783,Nocardioides.sp..zg.579,-0.9577440066783484,0.0007362378944595
Nocardioides.sp..JS614,is_Rod,Rod,-0.0016807678103808,0.0005309392967327,47,47,0.0027756765718004,0.0094132937688783,Nocardioides.sp..JS614,-0.972939228510466,0.0007330976816811
Janibacter.melonis,is_Rod,Rod,-0.0025933097992212,0.0008255154278532,47,47,0.0029702546653355,0.0094132937688783,Janibacter.melonis,-0.5609641225473396,0.0034185442209796
Ornithinimicrobium.flavum,is_Rod,Rod,-0.0029432794157151,0.0009186482535249,47,47,0.0024923783889361,0.0094132937688783,Ornithinimicrobium.flavum,-1.1779236035628775,0.0015634347224528
Acinetobacter.johnsonii,is_Rod,Rod,0.0087152257603136,0.0027410643662097,47,47,0.0026697886159858,0.0094132937688783,Acinetobacter.johnsonii,1.933773068970738,0.0134048928041509
