feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Kocuria.flava	is_kiosk	Kiosk	0.00784452809630536	0.00065740201516603	41	41	4.18913492456474e-14	6.63853339599803e-12
Deinococcus.sp..NW.56	is_kiosk	Kiosk	0.0046988501966071	0.000404628763174555	41	41	6.09039761100736e-14	6.63853339599803e-12
Paracoccus.sp..2251	is_kiosk	Kiosk	0.00325096456307886	0.000288764389365505	41	41	1.14629016204054e-13	8.32970851082795e-12
Paracoccus.pantotrophus	is_kiosk	Kiosk	0.00251645218908955	0.00023690652896031	41	41	6.21263878276535e-13	3.38588813660712e-11
Paracoccus.denitrificans	is_kiosk	Kiosk	0.00239452666460134	0.000233121373667509	41	41	1.61265869439635e-12	7.03119190756809e-11
Micropruina.glycogenica	is_kiosk	Kiosk	0.00283974219522779	0.000279534982861241	41	41	2.1993900086725e-12	7.99111703151009e-11
Paracoccus.zhejiangensis	is_kiosk	Kiosk	0.0027524213795475	0.000276985265900181	41	41	4.06774392579356e-12	1.26681167974714e-10
Paracoccus.jeotgali	is_kiosk	Kiosk	0.00224266500078177	0.000227839828671122	41	41	5.28787215772037e-12	1.4409451629788e-10
Paracoccus.contaminans	is_kiosk	Kiosk	0.00401739063845431	0.000408956983093366	41	41	6.0327234154767e-12	1.4612596717488e-10
Kocuria.turfanensis	is_kiosk	Kiosk	0.0027270575616876	0.000269231356576142	41	41	7.16368130775953e-12	1.56168252509158e-10
Propioniciclava.sp..HDW11	is_kiosk	Kiosk	0.00485638781823588	0.000504335901313952	41	41	9.6523763023917e-12	1.61862925686261e-10
Paracoccus.aminovorans	is_kiosk	Kiosk	0.00246873553331196	0.000256178978151849	41	41	9.45020117494995e-12	1.61862925686261e-10
Rhodobacter.sphaeroides	is_kiosk	Kiosk	0.0026208375331652	0.000270101134087958	41	41	8.77172872709997e-12	1.61862925686261e-10
Ornithinimicrobium.sp..AMA3305	is_kiosk	Kiosk	0.00260850118318192	0.000277988540672698	41	41	1.94139882527612e-11	3.02303531364424e-10
Nocardioides.seonyuensis	is_kiosk	Kiosk	0.00293622424176311	0.00031343246952761	41	41	2.14023261427181e-11	3.09634831063902e-10
Kocuria.rosea	is_kiosk	Kiosk	0.00279665030596398	0.000296195906092918	41	41	2.27254921881763e-11	3.09634831063902e-10
Nocardioides.sp..HDW12B	is_kiosk	Kiosk	0.00275014604264216	0.000295062833490817	41	41	2.64899468940189e-11	3.39694613111536e-10
Tessaracoccus.flavus	is_kiosk	Kiosk	0.00302968103632191	0.000327754001923874	41	41	2.89814658603809e-11	3.50997753197946e-10
Nocardioides.sp..CF8	is_kiosk	Kiosk	0.00258787878651687	0.000280668438241536	41	41	3.09961813541859e-11	3.55640396590133e-10
Nocardioides.sp..zg.579	is_kiosk	Kiosk	0.00246387280407299	0.000272710603849564	41	41	5.60441319130571e-11	5.3120090248028e-10
