feature,metadata,value,coef,stderr,N,N.not.0,pval,qval,Taxa,Log2FC,Mean_rel_abt_on_kiosk
Kocuria.flava,is_kiosk,Kiosk,0.0078445280963053,0.000657402015166,41,41,4.18913492456474e-14,6.63853339599803e-12,Kocuria.flava,1.8259878186164933,0.0092679861538461
Deinococcus.sp..NW.56,is_kiosk,Kiosk,0.0046988501966071,0.0004046287631745,41,41,6.09039761100736e-14,6.63853339599803e-12,Deinococcus.sp..NW.56,2.1487193622555525,0.0043861353076923
Paracoccus.sp..2251,is_kiosk,Kiosk,0.0032509645630788,0.0002887643893655,41,41,1.14629016204054e-13,8.32970851082795e-12,Paracoccus.sp..2251,1.0556942752281897,0.0037852454615384
Paracoccus.pantotrophus,is_kiosk,Kiosk,0.0025164521890895,0.0002369065289603,41,41,6.212638782765349e-13,3.38588813660712e-11,Paracoccus.pantotrophus,1.0562723329182455,0.0023630848461538
Paracoccus.denitrificans,is_kiosk,Kiosk,0.0023945266646013,0.0002331213736675,41,41,1.61265869439635e-12,7.031191907568089e-11,Paracoccus.denitrificans,1.040328755964557,0.0021493157692307
Micropruina.glycogenica,is_kiosk,Kiosk,0.0028397421952277,0.0002795349828612,41,41,2.1993900086725e-12,7.99111703151009e-11,Micropruina.glycogenica,1.2816059167326177,0.0026496725384615
Paracoccus.zhejiangensis,is_kiosk,Kiosk,0.0027524213795475,0.0002769852659001,41,41,4.0677439257935595e-12,1.26681167974714e-10,Paracoccus.zhejiangensis,0.8308105525114975,0.0033504321538461
Paracoccus.jeotgali,is_kiosk,Kiosk,0.0022426650007817,0.0002278398286711,41,41,5.28787215772037e-12,1.4409451629788e-10,Paracoccus.jeotgali,0.9135880666227204,0.0020348541538461
Paracoccus.contaminans,is_kiosk,Kiosk,0.0040173906384543,0.0004089569830933,41,41,6.0327234154767e-12,1.4612596717488001e-10,Paracoccus.contaminans,1.0855053720316103,0.0051883727692307
Kocuria.turfanensis,is_kiosk,Kiosk,0.0027270575616876,0.0002692313565761,41,41,7.163681307759529e-12,1.56168252509158e-10,Kocuria.turfanensis,1.340912188543907,0.0024551292307692
Propioniciclava.sp..HDW11,is_kiosk,Kiosk,0.0048563878182358,0.0005043359013139,41,41,9.6523763023917e-12,1.61862925686261e-10,Propioniciclava.sp..HDW11,1.4181761408944098,0.0057427222307692
Paracoccus.aminovorans,is_kiosk,Kiosk,0.0024687355333119,0.0002561789781518,41,41,9.45020117494995e-12,1.61862925686261e-10,Paracoccus.aminovorans,0.95725621137559,0.0024321523076923
Rhodobacter.sphaeroides,is_kiosk,Kiosk,0.0026208375331652,0.0002701011340879,41,41,8.77172872709997e-12,1.61862925686261e-10,Rhodobacter.sphaeroides,1.1496527904064635,0.0024211758461538
Ornithinimicrobium.sp..AMA3305,is_kiosk,Kiosk,0.0026085011831819,0.0002779885406726,41,41,1.9413988252761198e-11,3.02303531364424e-10,Ornithinimicrobium.sp..AMA3305,1.0655648423196222,0.0025652938461538
Nocardioides.seonyuensis,is_kiosk,Kiosk,0.0029362242417631,0.0003134324695276,41,41,2.14023261427181e-11,3.0963483106390203e-10,Nocardioides.seonyuensis,1.358531561268606,0.002705973
Kocuria.rosea,is_kiosk,Kiosk,0.0027966503059639,0.0002961959060929,41,41,2.2725492188176297e-11,3.0963483106390203e-10,Kocuria.rosea,1.3503170980385448,0.0024958505384615
Nocardioides.sp..HDW12B,is_kiosk,Kiosk,0.0027501460426421,0.0002950628334908,41,41,2.6489946894018898e-11,3.39694613111536e-10,Nocardioides.sp..HDW12B,1.321677753801584,0.0024733356923076
Tessaracoccus.flavus,is_kiosk,Kiosk,0.0030296810363219,0.0003277540019238,41,41,2.8981465860380898e-11,3.50997753197946e-10,Tessaracoccus.flavus,1.3252077589571414,0.0029293461538461
Nocardioides.sp..CF8,is_kiosk,Kiosk,0.0025878787865168,0.0002806684382415,41,41,3.09961813541859e-11,3.55640396590133e-10,Nocardioides.sp..CF8,1.1801230509216951,0.0023170353076923
Nocardioides.sp..zg.579,is_kiosk,Kiosk,0.0024638728040729,0.0002727106038495,41,41,5.6044131913057096e-11,5.3120090248028e-10,Nocardioides.sp..zg.579,1.1434461248343943,0.0021529679230769
Ornithinimicrobium.flavum,is_kiosk,Kiosk,0.0040892044862133,0.000452839856224,41,41,5.3732877675252296e-11,5.3120090248028e-10,Ornithinimicrobium.flavum,1.1507662188279202,0.0052300333076923
Phycicoccus.sp..HDW14,is_kiosk,Kiosk,0.002586888057677,0.0002855000435148,41,41,4.91440403562077e-11,5.3120090248028e-10,Phycicoccus.sp..HDW14,0.9973166788178104,0.0026004339999999
Exiguobacterium.mexicanum,is_kiosk,Kiosk,0.0027039029603511,0.000299310846213,41,41,5.482489276911419e-11,5.3120090248028e-10,Exiguobacterium.mexicanum,1.3110371867002757,0.0024065656923076
Ornithinimicrobium.sp..HY006,is_kiosk,Kiosk,0.0021602464069127,0.0002427004695025,41,41,7.8282742451105e-11,7.11068243930871e-10,Ornithinimicrobium.sp..HY006,0.9262647620959809,0.0018657888461538
