Species,hong_kong,london,ilorin,singapore,new_york_city,porto,barcelona,kyiv,doha,seoul,zurich,lisbon,stockholm,denver,berlin,offa,santiago,naples,paris,sacramento,hamilton,marseille,sofia,vienna,sendai,brisbane,kuala_lumpur,hanoi,auckland,minneapolis,baltimore,prevalence
Bradyrhizobium sp. BTAi1,0.9938650306748467,0.0166270783847981,0.7538461538461538,0.9888888888888889,0.5878378378378378,,,0.972972972972973,0.19696969696969696,1.0,0.9615384615384616,,1.0,0.40540540540540543,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,,1.0,1.0,1.0
Cutibacterium acnes,0.9693251533742331,0.8527315914489311,0.7282051282051282,0.9666666666666667,0.8513513513513513,0.9819819819819819,0.90625,1.0,1.0,0.9666666666666667,0.9807692307692307,0.0196078431372549,1.0,1.0,1.0,,0.8235294117647058,1.0,1.0,0.8125,,1.0,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,,0.9230769230769231,1.0,0.990990990990991
Micrococcus luteus,0.9539877300613497,0.9287410926365796,0.7692307692307693,0.9277777777777778,0.8108108108108109,0.9369369369369369,0.78125,0.972972972972973,1.0,0.6833333333333333,0.9423076923076923,0.27450980392156865,0.9767441860465116,1.0,1.0,,0.9411764705882353,1.0,1.0,0.875,,1.0,1.0,1.0,1.0,0.8571428571428571,1.0,1.0,,0.9230769230769231,1.0,0.9634803515171614
Plasmodium relictum,0.8957055214723927,0.684085510688836,0.7282051282051282,0.9611111111111111,0.2905405405405405,0.9459459459459459,,0.9864864864864865,0.9393939393939394,1.0,0.8461538461538461,0.0196078431372549,1.0,0.972972972972973,0.9166666666666666,,0.8235294117647058,1.0,0.8125,0.6875,,0.75,1.0,0.9333333333333333,1.0,1.0,1.0,0.21428571428571427,0.07692307692307693,1.0,1.0,0.9363636363636364
Moraxella osloensis,0.6978527607361963,0.6199524940617577,0.30256410256410254,0.8166666666666667,0.8445945945945946,0.9009009009009009,0.9479166666666666,0.8783783783783784,0.9848484848484849,0.6,0.5,0.3333333333333333,0.8837209302325582,0.918918918918919,0.9722222222222222,,0.9411764705882353,1.0,0.875,0.25,0.0625,1.0,1.0,0.9333333333333333,1.0,0.35714285714285715,0.7857142857142857,0.9285714285714286,,,0.9166666666666666,0.8810496543054682
Pseudomonas stutzeri,0.3205521472392638,0.8551068883610451,0.9897435897435898,0.7722222222222223,0.8581081081081081,0.7927927927927928,0.3229166666666667,0.7837837837837838,0.9696969696969697,0.16666666666666666,0.5769230769230769,0.9019607843137255,0.5348837209302325,0.8378378378378378,0.8888888888888888,0.9411764705882353,1.0,0.9375,0.875,1.0,0.6875,1.0,0.875,0.6,0.5714285714285714,0.21428571428571427,1.0,0.7142857142857143,0.6153846153846154,1.0,0.6666666666666666,0.8378378378378378
Kocuria palustris,0.5337423312883436,0.7268408551068883,0.7435897435897436,0.8055555555555556,0.7905405405405406,0.7477477477477478,0.5208333333333334,0.8648648648648649,0.8636363636363636,0.3333333333333333,0.75,0.0196078431372549,0.6976744186046512,0.8918918918918919,0.9722222222222222,,0.9411764705882353,1.0,0.9375,0.25,,1.0,1.0,0.9333333333333333,1.0,0.2857142857142857,1.0,0.9285714285714286,,0.38461538461538464,1.0,0.8345959595959596
Malassezia restricta,0.7530674846625767,0.6769596199524941,0.6307692307692307,0.8222222222222222,0.7837837837837838,0.9099099099099099,0.78125,0.7837837837837838,0.7121212121212122,0.4666666666666667,0.6730769230769231,,0.9069767441860465,0.918918918918919,0.9722222222222222,,0.6470588235294118,0.9375,0.875,0.3125,,1.0,0.9375,0.8666666666666667,1.0,0.8571428571428571,0.7142857142857143,0.2857142857142857,,0.8461538461538461,1.0,0.8222222222222222
Cupriavidus metallidurans,0.8588957055214724,0.0023752969121140144,0.6307692307692307,0.5444444444444444,0.24324324324324326,0.009009009009009009,,0.8108108108108109,0.18181818181818182,0.9833333333333333,0.7307692307692307,,0.3488372093023256,0.43243243243243246,,,,0.875,1.0,,,0.8125,1.0,0.8666666666666667,1.0,1.0,1.0,0.5714285714285714,,0.6923076923076923,1.0,0.8108108108108109
Stenotrophomonas maltophilia,0.6058282208588958,0.7957244655581948,0.7435897435897436,0.7333333333333333,0.8378378378378378,0.6846846846846847,0.375,0.7837837837837838,0.9393939393939394,0.4166666666666667,0.8076923076923077,0.5098039215686274,0.6976744186046512,0.8378378378378378,0.9722222222222222,0.5882352941176471,0.9411764705882353,0.9375,1.0,1.0,0.75,1.0,0.9375,0.8666666666666667,1.0,0.42857142857142855,1.0,0.7857142857142857,0.46153846153846156,1.0,0.8333333333333334,0.8076923076923077
Paracoccus sp. Arc7-R13,0.504601226993865,0.684085510688836,0.717948717948718,0.5166666666666667,0.8108108108108109,0.8288288288288288,0.625,0.527027027027027,0.803030303030303,0.3,0.6730769230769231,0.0784313725490196,0.6744186046511628,0.6756756756756757,0.9166666666666666,,1.0,1.0,1.0,0.8125,,1.0,1.0,1.0,0.8571428571428571,0.21428571428571427,0.9285714285714286,0.8571428571428571,,0.8461538461538461,0.5833333333333334,0.8069205569205569
Kocuria rosea,0.1794478527607362,0.7648456057007126,0.4512820512820513,0.5111111111111111,0.7905405405405406,0.23423423423423423,0.65625,0.5945945945945946,0.8181818181818182,0.48333333333333334,0.7692307692307693,0.0196078431372549,0.7441860465116279,0.8648648648648649,0.7777777777777778,,0.9411764705882353,1.0,1.0,1.0,,1.0,0.9375,1.0,0.7142857142857143,0.07142857142857142,0.14285714285714285,1.0,,0.8461538461538461,0.9166666666666666,0.7735042735042735
Bradyrhizobium sp. SK17,0.7607361963190185,0.0023752969121140144,0.4512820512820513,0.8444444444444444,0.47297297297297297,,,0.8648648648648649,0.16666666666666666,0.9833333333333333,0.5576923076923077,,0.7441860465116279,0.3783783783783784,,,,0.75,0.6875,,,0.5,0.75,0.7333333333333333,0.8571428571428571,1.0,1.0,0.5,,0.9230769230769231,1.0,0.747093023255814
Pseudomonas putida,0.2883435582822086,0.48693586698337293,0.6307692307692307,0.6555555555555556,0.8783783783783784,0.8648648648648649,0.5104166666666666,0.5675675675675675,0.8636363636363636,0.21666666666666667,0.5,0.49019607843137253,0.7441860465116279,0.8108108108108109,0.6388888888888888,0.11764705882352941,1.0,0.9375,0.9375,1.0,0.8125,1.0,0.875,0.7333333333333333,0.8571428571428571,0.2857142857142857,1.0,0.21428571428571427,0.5384615384615384,0.9230769230769231,0.75,0.7441860465116279
