Species,hong_kong,london,ilorin,singapore,new_york_city,porto,barcelona,kyiv,doha,seoul,zurich,lisbon,stockholm,denver,berlin,santiago,offa,hamilton,marseille,paris,naples,sacramento,sofia,vienna,sendai,brisbane,kuala_lumpur,hanoi,minneapolis,auckland,baltimore
Acetoanaerobium sticklandii,0.0015337423312883436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetobacter aceti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07692307692307693,,
Acetobacter ascendens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07692307692307693,,
Acetobacter ghanensis,,,,,0.006756756756756757,,,0.013513513513513514,,,,,,,,,,,,,,,,,,,,,0.07692307692307693,,
Acetobacter orientalis,0.003067484662576687,,0.005128205128205128,,0.02027027027027027,,,0.04054054054054054,,,,,,,,,,,,,,,,,,,,,0.07692307692307693,,
Acetobacter oryzoeni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07692307692307693,,
Acetobacter pasteurianus,,,,,0.006756756756756757,,,,,,,,,,,,,,,,,,,,,,,,0.07692307692307693,,
Acetobacter persici,0.0015337423312883436,,,,0.006756756756756757,,,,,,,,,,,,,,,,,,,,,,,,0.07692307692307693,,
Acetobacter senegalensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07692307692307693,,
Acetobacter sp. KACC 21233,,,,,,,,0.013513513513513514,,,,,,,,,,,,,,,,,,,,,0.07692307692307693,,
Acetobacter tropicalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07692307692307693,,
Acetobacteraceae bacterium,0.05674846625766871,0.011876484560570071,0.005128205128205128,0.09444444444444444,,0.0990990990990991,0.010416666666666666,0.08108108108108109,,,0.34615384615384615,,0.18604651162790697,0.02702702702702703,,,,,,0.0625,0.125,,,,,0.07142857142857142,0.14285714285714285,0.14285714285714285,,,
Acholeplasma palmae,,,,,,,,,,,,,,0.16216216216216217,,,,,,,,,,,,,,,,,
Achromobacter denitrificans,0.0015337423312883436,0.007125890736342043,0.015384615384615385,,0.02027027027027027,,,,,,,,,,,,0.11764705882352941,,,,,,,,,,,,,,
Achromobacter insolitus,0.004601226993865031,0.009501187648456057,0.02564102564102564,,0.006756756756756757,,,,,,,,,,,,0.058823529411764705,,,,,,,,,,,,,,
Achromobacter ruhlandii,,,,,,,,,,,,,,,,,0.058823529411764705,,,,,,,,,,,,,,
Achromobacter sp. AONIH1,0.003067484662576687,0.05938242280285035,0.010256410256410256,0.005555555555555556,0.006756756756756757,,,0.013513513513513514,0.015151515151515152,,0.019230769230769232,,,,,,0.058823529411764705,,,,,0.0625,,,,,,,,,
Achromobacter sp. B7,,0.009501187648456057,0.005128205128205128,,0.02027027027027027,0.009009009009009009,,,,,,,,,,,,,,,,,,,,,,,0.07692307692307693,,
Achromobacter sp. MFA1 R4,,0.011876484560570071,0.03076923076923077,,0.013513513513513514,,,,0.030303030303030304,,,0.0392156862745098,,,,0.058823529411764705,0.058823529411764705,,,,,,,,,,,,,,
Achromobacter spanius,,0.08076009501187649,0.05641025641025641,,0.033783783783783786,0.018018018018018018,,,,,,0.058823529411764705,,0.05405405405405406,,0.058823529411764705,0.17647058823529413,,,,,,,,,,,,0.07692307692307693,0.07692307692307693,
Achromobacter xylosoxidans,0.09202453987730061,0.37767220902612825,0.15384615384615385,0.11666666666666667,0.060810810810810814,0.07207207207207207,,0.13513513513513514,0.045454545454545456,0.03333333333333333,0.23076923076923078,0.058823529411764705,0.046511627906976744,0.08108108108108109,,0.11764705882352941,0.23529411764705882,,,0.125,0.0625,0.0625,0.25,,0.07142857142857142,0.14285714285714285,0.5714285714285714,0.14285714285714285,0.38461538461538464,0.07692307692307693,0.16666666666666666
Acidaminococcus intestini,,0.0023752969121140144,,0.005555555555555556,,,0.010416666666666666,,,,,,,,,,,,,,,,,,,,,,,,
Acidibrevibacterium fodinaquatile,0.018404907975460124,0.0023752969121140144,0.005128205128205128,0.022222222222222223,,,,0.04054054054054054,,,0.019230769230769232,,,0.02702702702702703,,,,,,,,,,,,,0.07142857142857142,,,,
Acidipropionibacterium acidipropionici,0.006134969325153374,0.023752969121140142,,0.016666666666666666,0.013513513513513514,,,0.013513513513513514,,,0.057692307692307696,,,,,,,,,,,,,,0.07142857142857142,,0.07142857142857142,0.14285714285714285,0.15384615384615385,,
Acidipropionibacterium jensenii,0.0015337423312883436,0.011876484560570071,,0.011111111111111112,0.08108108108108109,,,0.05405405405405406,,,0.038461538461538464,,,,,,,,,0.0625,,0.0625,,,,,,,,,
Acidipropionibacterium virtanenii,,0.0023752969121140144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acidobacterium capsulatum,0.006134969325153374,,,,,,,0.013513513513513514,,,,,,,,,,,,,,,,,,,,,,,
Acidovorax avenae,0.02607361963190184,,0.041025641025641026,0.027777777777777776,0.006756756756756757,0.009009009009009009,,0.013513513513513514,0.030303030303030304,,0.07692307692307693,,,,,0.058823529411764705,,,,0.125,,0.125,0.125,,,0.21428571428571427,,,,,
