Species,prevalence
Micrococcus luteus,0.82435481796272
Cutibacterium acnes,0.8224821826686707
Stenotrophomonas maltophilia,0.782945462069767
Pseudomonas stutzeri,0.7506552224778837
Plasmodium relictum,0.7253208725510307
Moraxella osloensis,0.6855475966497286
Pseudomonas putida,0.6815928469307019
Malassezia restricta,0.679717771476412
Kocuria palustris,0.6749352241185611
Paracoccus sp. Arc7-R13,0.6592063990724044
Modestobacter marinus,0.6363206304557917
Massilia oculi,0.6206300763234514
Kocuria rosea,0.620308285652955
Bradyrhizobium sp. BTAi1,0.6043578833439329
Variovorax paradoxus,0.5980981847431193
Geodermatophilus obscurus,0.5958259685262997
Paracoccus yeei,0.5925817414238694
Janibacter indicus,0.5838215677763603
Blastococcus saxobsidens,0.5751644358324108
Friedmanniella sagamiharensis,0.5537778071246536
Paracoccus sp. AK26,0.5362794544274448
Rhodopseudomonas palustris,0.535171411748212
Paracoccus sanguinis,0.5222359321160214
Friedmanniella luteola,0.5143115306821421
Cupriavidus metallidurans,0.5030529373796374
Corynebacterium ureicelerivorans,0.49805638075098285
Acinetobacter johnsonii,0.4968028256599128
Marmoricola scoriae,0.48697005786714265
Rothia mucilaginosa,0.48200299461284035
Bradyrhizobium sp. SK17,0.4815479249332546
Cutibacterium granulosum,0.4785530545525176
Corynebacterium segmentosum,0.4711254421998117
Janibacter melonis,0.4641819044014323
Bradyrhizobium sp. 6(2017),0.45131866806710463
Sphingomonas sp. AAP5,0.4400767346072664
Sphingomonas sp. PAMC26645,0.42009273780247647
Nocardioides sp. HDW12B,0.4194231343375553
Nocardioides sp. R-3366,0.4160473487275362
Sorangium cellulosum,0.41332968929651087
Nocardioides sp. CF8,0.4119190049860908
Klebsiella pneumoniae,0.40968657876752657
Nocardioides sp. S-1144,0.4091771431685873
Staphylococcus epidermidis,0.402557553230267
Streptococcus mitis,0.39426584067821335
Acinetobacter lwoffii,0.3911739126770282
Methylorubrum populi,0.3887563412737992
Methylobacterium brachiatum,0.3878428214701521
Phycicoccus sp. HDW14,0.38721081401780166
Clavibacter michiganensis,0.38450774558777767
Methylorubrum extorquens,0.38110315020605234
Nocardioides sp. JS614,0.3807088490111634
Ramlibacter tataouinensis,0.3751011837989078
Methylobacterium mesophilicum,0.3725453104441306
Kocuria turfanensis,0.37222028800838236
Staphylococcus hominis,0.37165774045077693
Streptomyces venezuelae,0.37160984913534284
Sphingomonas taxi,0.3689113014914572
Deinococcus sp. NW-56,0.36540947409933566
Nocardioides sp. zg-579,0.3649833371097596
Nocardioides seonyuensis,0.356929521039407
Schaalia odontolytica,0.3523708699220235
Dermacoccus nishinomiyaensis,0.34109521827127987
Xanthomonas campestris,0.3397078141060262
Actinomyces sp. oral taxon 171,0.339576585259734
Pseudonocardia sp. Gen01,0.3366432021102576
Paracoccus sp. 2251,0.3350738181877211
Acinetobacter baumannii,0.33445659778923575
Brevundimonas naejangsanensis,0.3344330528255288
Sphingomonas ginsengisoli An et al. 2013,0.3313710637552708
Nocardioides euryhalodurans,0.33011200312964745
Microbacterium aurum,0.32544191125911526
Sphingomonas sp. FARSPH,0.3223993001910971
Pseudomonas oryzihabitans,0.31964007241571574
Mesorhizobium sp. NIBRBAC000500504,0.3170080157481027
Kytococcus sedentarius,0.3150839592465428
Corynebacterium jeikeium,0.3134559431726987
Methylobacterium sp. WL1,0.31290901823367506
Acinetobacter schindleri,0.3121320178932183
Massilia sp. WG5,0.31129438370823137
Kocuria flava,0.30335612511017584
Microlunatus phosphovorus,0.3027576769839711
Bradyrhizobium erythrophlei,0.3013616409134746
Microbacterium foliorum,0.30064954406299016
Actinomyces oris,0.29643553573929593
Sphingomonas insulae,0.29441086776306136
Hymenobacter sp. DG01,0.2935824172622828
Paracoccus contaminans,0.29290194289558924
Agrococcus carbonis,0.29243723436858826
Rothia dentocariosa,0.28700961966948396
Stenotrophomonas rhizophila,0.2869813707914305
Staphylococcus cohnii,0.28638896988560875
Hymenobacter sp. APR13,0.28609666162642666
Methylobacterium sp. 17Sr1-43,0.28415768880598685
Nocardioides dokdonensis,0.2821068459454193
Streptococcus oralis,0.28100862675476923
Bradyrhizobium betae,0.278003901179116
Pseudomonas fluorescens,0.27792341596885767
Ornithinimicrobium flavum,0.2774078106057281
Duganella sp. GN2-R2,0.2747961073508392
Pseudomonas aeruginosa,0.27030549856145947
Nocardioides sp. 603,0.2683195237653075
Kocuria sp. KD4,0.26690017133305466
Nocardioides sp. HDW12A,0.26649814359457086
Janibacter limosus,0.2664460514092435
Roseomonas gilardii,0.2657328318221423
Corynebacterium singulare,0.2657206441746989
Pantoea agglomerans,0.26538758141233354
Nocardioides sp. dk884,0.26414860695333997
Brevibacterium sp. CS2,0.2625807598702922
Xanthomonas euvesicatoria,0.261589442013247
Actinomyces naeslundii,0.25728653872798946
Sphingomonas sp. LK11,0.25174503978661944
Arsenicicoccus sp. oral taxon 190,0.25024938613823944
Corynebacterium aurimucosum,0.2445191837478374
Massilia putida,0.24334228343664502
Nocardioides sp. SB3-45,0.2431834430761028
Actinomyces sp. oral taxon 414,0.24245141969276796
Corynebacterium minutissimum,0.2416392052042475
Altererythrobacter sp. TH136,0.241124047361135
Ralstonia pickettii,0.2403638671322262
Aquabacterium olei,0.24018660992741084
Deinococcus metallilatus,0.23938910191629656
Deinococcus swuensis,0.2388920210624325
Dietzia sp. oral taxon 368,0.23684643668631206
Nocardioides humi,0.23673789156329172
Serinicoccus profundi,0.23477258987425617
Skermanella pratensis,0.23410826667287243
