Species,prevalence
Staphylococcus aureus,0.8229166666666666
Acinetobacter junii,0.7708333333333334
Cutibacterium acnes,0.75
Moraxella osloensis,0.6458333333333334
Acinetobacter haemolyticus,0.53125
Acinetobacter baumannii,0.5
Acinetobacter sp. WCHA45,0.4583333333333333
Kocuria rosea,0.4270833333333333
Salmonella enterica,0.40625
Klebsiella variicola,0.3020833333333333
Acinetobacter johnsonii,0.22916666666666666
Acinetobacter indicus,0.21875
Malassezia restricta,0.21875
Xanthomonas citri,0.17708333333333334
Staphylococcus epidermidis,0.17708333333333334
Staphylococcus hominis,0.11458333333333333
Streptococcus mitis,0.10416666666666667
Acinetobacter wuhouensis,0.10416666666666667
Acinetobacter lwoffii,0.08333333333333333
Staphylococcus cohnii,0.08333333333333333
Polynucleobacter necessarius,0.08333333333333333
Bacillus sp. BD59S,0.07291666666666667
Neisseria gonorrhoeae,0.07291666666666667
Paracoccus sp. Arc7-R13,0.07291666666666667
Pseudomonas stutzeri,0.0625
Pseudomonas fluorescens,0.0625
Cupriavidus oxalaticus,0.0625
Acinetobacter radioresistens,0.0625
Micrococcus luteus,0.0625
Brevundimonas naejangsanensis,0.052083333333333336
Brevundimonas diminuta,0.052083333333333336
Streptococcus pneumoniae,0.052083333333333336
Arabia massiliensis,0.052083333333333336
Burkholderia dolosa,0.052083333333333336
Klebsiella pneumoniae,0.052083333333333336
Lactobacillus fermentum,0.041666666666666664
Listeria monocytogenes,0.041666666666666664
Brevundimonas vancanneytii,0.041666666666666664
Enterococcus faecalis,0.041666666666666664
Pseudomonas aeruginosa,0.041666666666666664
Escherichia coli,0.041666666666666664
Veillonella dispar,0.03125
Prevotella melaninogenica,0.03125
Ralstonia solanacearum,0.03125
Komagataeibacter rhaeticus,0.03125
Acinetobacter sp. WCHA55,0.020833333333333332
Veillonella parvula,0.020833333333333332
Cryptococcus neoformans,0.020833333333333332
Gardnerella vaginalis,0.020833333333333332
Toxoplasma gondii,0.020833333333333332
Corynebacterium matruchotii,0.020833333333333332
Streptomyces sp. ICC4,0.020833333333333332
Schaalia odontolytica,0.020833333333333332
Rothia mucilaginosa,0.020833333333333332
Saccharomyces cerevisiae,0.020833333333333332
Pseudomonas mendocina,0.020833333333333332
Kocuria turfanensis,0.020833333333333332
Acinetobacter sp. NEB149,0.020833333333333332
Acinetobacter pittii,0.010416666666666666
Pseudomonas oleovorans,0.010416666666666666
Streptococcus salivarius,0.010416666666666666
Barnesiella viscericola,0.010416666666666666
Leptotrichia wadei,0.010416666666666666
Streptococcus sp. oral taxon 431,0.010416666666666666
Odoribacter splanchnicus,0.010416666666666666
