Species,hong_kong,london,ilorin,singapore,new_york_city,porto,barcelona,kyiv,doha,seoul,zurich,lisbon,stockholm,denver,berlin,offa,santiago,naples,paris,sacramento,hamilton,marseille,sofia,vienna,sendai,brisbane,kuala_lumpur,hanoi,auckland,minneapolis,baltimore
Cutibacterium acnes,0.40950920245398775,0.36104513064133015,0.05128205128205128,0.3055555555555556,0.527027027027027,0.5675675675675675,0.13541666666666666,0.2702702702702703,0.22727272727272727,0.18333333333333332,0.21153846153846154,,0.16279069767441862,0.4594594594594595,0.3611111111111111,,0.11764705882352941,0.4375,0.3125,,,0.5625,0.625,0.6,0.5714285714285714,0.07142857142857142,0.14285714285714285,,,0.23076923076923078,0.5833333333333334
Bradyrhizobium sp. BTAi1,0.3512269938650307,,0.07179487179487179,0.22777777777777777,0.02702702702702703,,,0.17567567567567569,0.07575757575757576,0.36666666666666664,0.11538461538461539,,0.3488372093023256,0.10810810810810811,,,,0.25,,,,,0.125,0.13333333333333333,,0.6428571428571429,0.2857142857142857,,,0.3076923076923077,0.75
Micrococcus luteus,0.06901840490797546,0.011876484560570071,0.005128205128205128,,0.006756756756756757,,,,0.07575757575757576,,,0.0392156862745098,,0.02702702702702703,0.05555555555555555,,,,,,,,0.0625,,,,,0.07142857142857142,,,
Plasmodium relictum,0.04754601226993865,0.0831353919239905,0.14358974358974358,0.011111111111111112,0.006756756756756757,0.07207207207207207,,0.013513513513513514,0.015151515151515152,0.9666666666666667,0.019230769230769232,,0.27906976744186046,0.08108108108108109,,,,,,,,,,,,0.14285714285714285,,,,,0.25
Gordonia bronchialis,0.046012269938650305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Janibacter indicus,0.03834355828220859,0.009501187648456057,,,0.006756756756756757,,,,0.015151515151515152,,,,,,,,,,,,,,,0.06666666666666667,,,,,,,
Dermacoccus nishinomiyaensis,0.02607361963190184,0.007125890736342043,,,,,,,,,,0.0392156862745098,,,,,,,,,,,,,,,,,,,
Xanthomonas campestris,0.012269938650306749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paracoccus sp. Arc7-R13,0.007668711656441718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chroococcidiopsis thermalis,0.007668711656441718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
