Samples,Actinobacteria,Gammaproteobacteria,Alphaproteobacteria,Bacilli,Others,Betaproteobacteria,Flavobacteriia,select object/sampling place
368257968,0.557205416,0.173625855,0.104927265,0.061309787,0.05973652900000004,0.033007397,0.010187751,Bannister
368258054,0.389155768,0.166062085,0.214565309,0.036121365,0.08782182299999997,0.087045332,0.019228318,Bannister
368259600,0.402574934,0.332831295,0.112028134,0.047170497,0.06552364099999997,0.031860856,0.008010643,Rod
368259989,0.498227913,0.18392035,0.137151214,0.051129631,0.06733967299999999,0.034522518,0.027708701,Ticket Counter
368273379,0.345524891,0.347072036,0.135493908,0.030083315,0.09725568200000012,0.039273862,0.005296306,Rod
368281318,0.44465281,0.219666484,0.140350706,0.071677866,0.08475526899999997,0.030226891,0.008669974,Ticket Counter
368281322,0.465137374,0.124366663,0.246199975,0.014548512,0.064125926,0.078948863,0.006672687,Kiosk
368281337,0.504703261,0.202462709,0.118790468,0.054477668,0.07254800700000008,0.038164305,0.008853582,Bannister
368281369,0.384692509,0.283170064,0.156937705,0.075077801,0.04443452799999992,0.039035961,0.016651432,Ticket Counter
368281482,0.320477839,0.39592734,0.062116648,0.101993396,0.07254580399999999,0.034478217,0.012460756,Rod
368281490,0.397588168,0.147054393,0.258189671,0.028422627,0.08060051599999996,0.075134769,0.013009856,Kiosk
368281495,0.41907541,0.131256491,0.280278849,0.025149719,0.06701823800000006,0.069598169,0.007623124,Kiosk
368281511,0.430647671,0.167185433,0.240046676,0.025082481,0.06715721900000005,0.055451416,0.014429104,Kiosk
368281532,0.472600782,0.254261432,0.115814042,0.051195203,0.06357587399999987,0.031808971,0.010743696,Ticket Counter
368246110,0.423538586,0.110005735,0.264634447,0.023792182,0.09048802200000006,0.07722799,0.010313038,Kiosk
368253732,0.046264763,0.720008185,0.060679381,0.0059912,0.008850130999999983,0.146226217,0.011980123,Bannister
368258345,0.33544615,0.469800516,0.066055846,0.043461798,0.04119446699999996,0.032599959,0.011441264,Rod
368258351,0.378164636,0.256633598,0.160407636,0.035125251,0.08229972799999996,0.033318317,0.054050834,Ticket Counter
368258353,0.412307851,0.199098311,0.221500336,0.024612088,0.06792983900000005,0.053398285,0.02115329,Kiosk
368258369,0.472720424,0.196489024,0.196915993,0.028047581,0.049726987,0.047922808,0.008177183,Kiosk
368258383,0.505139647,0.231021837,0.151382811,0.029104908,0.04161296800000003,0.032853675,0.008884154,Ticket Counter
368258393,0.478499784,0.243833326,0.122459154,0.048622691,0.06411393700000001,0.03388978,0.008581328,Rod
368258417,0.451941783,0.159617222,0.219608783,0.022530123,0.07286913100000003,0.062860283,0.010572675,Kiosk
368258423,0.517405544,0.116140578,0.221825146,0.016511986,0.06359871999999989,0.059136352,0.005381674,Kiosk
368258431,0.433503616,0.149674276,0.253986781,0.026941048,0.07070251099999991,0.055636593,0.009555175,Kiosk
368259698,0.421569482,0.309548986,0.11801627,0.046947379,0.05388477699999994,0.04159244,0.008440666,Ticket Counter
368259701,0.449000282,0.137930965,0.220355325,0.030931416,0.0860794949999999,0.062956639,0.012745878,Kiosk
368259706,0.329884208,0.365504362,0.168292826,0.032296356,0.04246670099999994,0.048993497,0.01256205,Ticket Counter
368259707,0.503627543,0.14962249,0.129128945,0.087075967,0.08394232600000007,0.038551601,0.008051128,Bannister
368259710,0.583463494,0.171944243,0.100961073,0.040056302,0.07197754,0.024875893,0.006721455,Rod
368259718,0.475331061,0.190301048,0.203848982,0.03310783,0.053513213999999976,0.034622367,0.009275498,Ticket Counter
368259737,0.51734384,0.221559851,0.125823464,0.052543756,0.04715881300000002,0.028731842,0.006838434,Ticket Counter
368259760,0.467651183,0.223817893,0.146503731,0.045441133,0.061210926,0.040669409,0.014705725,Ticket Counter
368259764,0.429605968,0.259083618,0.12391015,0.051237108,0.09438199300000005,0.029364348,0.012416815,Ticket Counter
368259770,0.400870166,0.293741426,0.169611012,0.039086876,0.050623252999999924,0.036115304,0.009951963,Ticket Counter
368259776,0.413906818,0.311577561,0.122218584,0.046904216,0.05597296600000001,0.040427464,0.008992391,Rod
368260393,0.489965184,0.193144506,0.146420263,0.046815536,0.07039452000000002,0.040844998,0.012414993,Bannister
368297838,0.407873992,0.158395417,0.224774999,0.033954358,0.10266658000000006,0.060766428,0.011568226,Kiosk
368297861,0.448664112,0.212564566,0.139934663,0.062014384,0.08848250999999996,0.038354019,0.009985746,Bannister
368299257,0.464296847,0.162144354,0.214934112,0.027803496,0.06511214200000004,0.053426365,0.012282684,Kiosk
368299282,0.501081693,0.188190501,0.140843418,0.037723842,0.062318642999999896,0.058782923,0.01105898,Bannister
