COG20_PATHWAY	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_Chennai	p_Reference	N_Chennai	N_Reference
Cysteine biosynthesis!!!Cysteine biosynthesis	26.84000797	2.21E-07	1.92E-05	Reference	COG0529!!!COG2895	GC_00003641	0.0909	1	11	20
TCA cycle!!!TCA cycle	16.43942789	5.02E-05	0.002184984	Reference	COG1838!!!COG1951	GC_00003515	0.3636	1	11	20
Pyrimidine salvage!!!Thymidylate biosynthesis	10.83925975	9.94E-04	0.021613073	Reference	COG0209!!!COG1328	GC_00003400	0.5455	1	11	20
Fatty acid biosynthesis!!!Menaquinone biosynthesis	10.83925975	9.94E-04	0.021613073	Reference	COG0236!!!COG0318!!!COG3319	GC_00003399	0.5455	1	11	20
Methionine biosynthesis!!!Methionine biosynthesis	8.350259498	0.003856323	0.055916676	Reference	COG0646!!!COG1410	GC_00003293	0.6364	1	11	20
Archaeal ribosomal proteins	8.350259498	0.003856323	0.055916676	Chennai	COG2051	GC_00004419	0.3636	0	11	20
Glutamine biosynthesis!!!Glutamine biosynthesis!!!Glutamine biosynthesis	3.887169108	0.048656372	0.529138049	Reference	COG0067!!!COG0069!!!COG0070	GC_00002982	0.8182	1	11	20
Arginine biosynthesis!!!Arginine biosynthesis	3.887169108	0.048656372	0.529138049	Reference	COG0548!!!COG1246	GC_00002784	0.8182	1	11	20
CRISPR-Cas system	2.203042072	0.137738678	1	Chennai	COG3415	"GC_00003651, GC_00003673, GC_00004335, GC_00004344, GC_00004359, GC_00004400, GC_00004401, GC_00004409, GC_00004917, GC_00006615, GC_00007508, GC_00007671"	0.7273	0.45	11	20
Phospholipid biosynthesis!!!Menaquinone biosynthesis	1.878795456	0.170471115	1	Chennai	COG0204!!!COG0318	GC_00005847	0.0909	0	11	20
23S rRNA modification!!!23S rRNA modification	1.878795456	0.170471115	1	Reference	COG0116!!!COG1092	GC_00002576	0.9091	1	11	20
Thiamine biosynthesis!!!Urea cycle	1.878795456	0.170471115	1	Reference	COG0301!!!COG0607	GC_00002642	0.9091	1	11	20
Asparagine biosynthesis	1.878795456	0.170471115	1	Reference	COG0367	"GC_00002321, GC_00004133"	0.9091	1	11	20
Cobalamine/B12 biosynthesis!!!Heme biosynthesis	1.878795456	0.170471115	1	Reference	COG0007!!!COG1648	GC_00002555	0.9091	1	11	20
Pyrimidine biosynthesis!!!Serine biosynthesis	1.175895847	0.278193106	1	Chennai	COG0167!!!COG1932	GC_00000030	1	0.9	11	20
Molybdopterin biosynthesis!!!Urea cycle	0.568333337	0.450921965	1	Reference	COG0476!!!COG0607	GC_00005677	0	0.05	11	20
Fatty acid biosynthesis!!!Isoprenoid biosynthesis	0.568333337	0.450921965	1	Reference	COG1028!!!COG1211	GC_00006365	0	0.05	11	20
2Fe2S	0.025619837	0.872832251	1	Reference	COG3411	GC_00003909	0.2727	0.3	11	20
Cobalamine/B12 biosynthesis	0	1	1	NA	COG1429	"GC_00000023, GC_00000460, GC_00000916, GC_00001597, GC_00001625, GC_00001660, GC_00001734, GC_00001868, GC_00002097, GC_00002562, GC_00002568, GC_00002618, GC_00002713, GC_00002729, GC_00002896, GC_00002947, GC_00003040, GC_00003056, GC_00003100, GC_00003160, GC_00004724, GC_00005152, GC_00006116, GC_00006231"	1	1	11	20
Translation factors	0	1	1	NA	COG0050	"GC_00000039, GC_00000145, GC_00000364, GC_00000445, GC_00001020, GC_00001087, GC_00002093, GC_00002997, GC_00003053, GC_00003184, GC_00003229, GC_00003319, GC_00003352, GC_00003568"	1	1	11	20
Fatty acid biosynthesis!!!Fatty acid biosynthesis	0	1	1	NA	COG1024!!!COG1250	"GC_00001971, GC_00002418"	1	1	11	20
Aromatic amino acid biosynthesis	0	1	1	NA	COG0757	"GC_00000530, GC_00001010, GC_00001012, GC_00001167, GC_00001421, GC_00001466, GC_00001475, GC_00001479, GC_00001777, GC_00001786, GC_00001809, GC_00001922, GC_00002205, GC_00002206, GC_00002354, GC_00002415, GC_00003237, GC_00003538, GC_00007735"	1	1	11	20
Proline degradation	0	1	1	NA	COG1012	"GC_00000027, GC_00000248, GC_00001381, GC_00001382, GC_00001607, GC_00002054, GC_00003269, GC_00003279, GC_00003289, GC_00003490, GC_00003738, GC_00004377, GC_00004569, GC_00004614, GC_00005158, GC_00006788, GC_00006827, GC_00007608, GC_00007825"	1	1	11	20
Isoprenoid biosynthesis	0	1	1	NA	COG0821	"GC_00000544, GC_00000892, GC_00001011, GC_00001061, GC_00001691, GC_00001694, GC_00001703, GC_00001704, GC_00001742, GC_00001829, GC_00002246, GC_00002550, GC_00002942, GC_00003540"	1	1	11	20
Pyruvate oxidation	0	1	1	NA	COG2609	"GC_00000493, GC_00001902, GC_00002312, GC_00003179, GC_00003697, GC_00003701, GC_00003706, GC_00003711"	1	1	11	20
